"fhudcode","fhudname","phic_name","regname","provcode","provname","citycode","cityname","facility_type_code","pan"
"DOH000000000002487","USON BARANGAY HEALTH STATION",,"Region 8","0878","BILIRAN","087804","CAIBIRAN","BHS",
"DOH000000000002491","PASSI CITY HEALTH CENTER","PASSI CITY HEALTH OFFICE ","Region 6","0630","ILOILO","063035","CITY OF PASSI","RHU","P06024773"
"DOH000000000002492","CUENCA RURAL HEALTH UNIT","CUENCA RURAL HEALTH UNIT  ","Region 4A","0410","BATANGAS","041009","CUENCA","RHU","P42026018"
"DOH000000000002498","VERGARA HEALTH CENTER","CITY GOVERNMENT OF MANDALUYONG - VERGARA HEALTH CENTER","NCR","1374","NCR   SECOND DISTRICT","137401","CITY OF MANDALUYONG","RHU","P91026245"
"DOH000000000002520","LINGUNAN HEALTH CENTER","LINGUNAN HEALTH CENTER / CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026176"
"DOH000000000002521","LIPA CITY MAIN HEALTH CENTER (WEST DISTRICT)","WEST DISTRICT HEALTH CENTER ","Region 4A","0410","BATANGAS","041014","LIPA CITY","RHU","P42026011"
"DOH000000000002527","RIZAL (LIWAN) RURAL HEALTH UNIT","RIZAL RURAL HEALTH UNIT - PCB1","CAR","1432","KALINGA","143211","RIZAL (LIWAN)","RHU","P13025634"
"DOH000000000002528","LGU KIBAWE BIRTHING HOME AND DOTS CENTER","LGU KIBAWE BIRTHING HOME & TB DOTS CENTER","Region 10","1013","BUKIDNON","101308","KIBAWE","RHU","P10025336"
"DOH000000000002530","TOBOSO RURAL HEALTH UNIT","TOBOSO RHU","Region 6","0645","NEGROS OCCIDENTAL","064529","TOBOSO","RHU","P06024788"
"DOH000000000002531","ANTIPOLO CITY HEALTH OFFICE I","ANTIPOLO CITY HEALTH OFFICE","Region 4A","0458","RIZAL","045802","CITY OF ANTIPOLO","RHU","P93027235"
"DOH000000000002537","KINALE BARANGAY HEALTH STATION",,"Region 5","0505","ALBAY","050514","POLANGUI","BHS",
"DOH000000000002541","VALLEHERMOSO RURAL HEALTH UNIT","VALLEHERMOSO RURAL HEALTH UNIT","Region 7","0746","NEGROS ORIENTAL","074624","VALLEHERMOSO","RHU","P07024963"
"DOH000000000002547","BAGGAO RURAL HEALTH UNIT","BAGGAO RURAL HEALTH UNIT/ BIRTHING CENTER","Region 2","0215","CAGAYAN","021506","BAGGAO","RHU","P02024223"
"DOH000000000002548","JOSE PANGANIBAN RURAL HEALTH UNIT II","RURAL HEALTH UNIT-II JOSE PANGANIBAN","Region 5","0516","CAMARINES NORTE","051605","JOSE PANGANIBAN","RHU","P05024568"
"DOH000000000002570","LIGAO CITY HEALTH OFFICE","LIGAO CITY HEALTH OFFICE","Region 5","0505","ALBAY","050508","CITY OF LIGAO","CHO","P05024546"
"DOH000000000002583","POBLACION BARANGAY HEALTH STATION",,"Region 6","0679","GUIMARAS","067902","JORDAN (Capital)","BHS",
"DOH000000000002585","PASACAO MUNICIPAL HEALTH OFFICE","PASACAO RHU","Region 5","0517","CAMARINES SUR","051727","PASACAO","RHU","P05024584"
"DOH000000000002591","LABUAN MAIN HEALTH CENTER","CITY GOV'T OF ZAMBOANGA/CHO-LABUAN HEALTH CENTER","Region 9","0973","ZAMBOANGA DEL SUR","097332","ZAMBOANGA CITY","RHU","P09025265"
"DOH000000000002592","IGUIG RURAL HEALTH UNIT","IGUIG RURAL HEALTH UNIT","Region 2","0215","CAGAYAN","021515","IGUIG","RHU","P02024228"
"DOH000000000002594","KIANGAN MUNICIPAL HEALTH OFFICE","KIANGAN RURAL HEALTH UNIT - PCB1","CAR","1427","IFUGAO","142703","KIANGAN","RHU","P13025625"
"DOH000000000002598","BALBALAN RURAL HEALTH UNIT","BALBALAN RURAL HEALTH UNIT - PCB1","CAR","1432","KALINGA","143201","BALBALAN","RHU","P13025629"
"DOH000000000002608","ANGELES RURAL HEALTH UNIT V","PANDAN HEALTH CENTER RHU V","Region 3","0354","PAMPANGA","035401","ANGELES CITY","RHU","P03024508"
"DOH000000000002612","DUGMANON BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112510","SAN ISIDRO","BHS",
"DOH000000000002613","ROSARIO RURAL HEALTH UNIT II","RURAL HEALTH UNIT II ALUPAY, ROSARIO","Region 4A","0410","BATANGAS","041021","ROSARIO","RHU","P42026027"
"DOH000000000002621","GIGMOTO RURAL HEALTH UNIT",,"Region 5","0520","CATANDUANES","052005","GIGMOTO","RHU","P05024609"
"DOH000000000002626","CAGAYANCILLO RURAL HEALTH UNIT","RURAL HEALTH UNIT CAGAYANCILLO","Region 4B","1753","PALAWAN","175308","CAGAYANCILLO","RHU","P42026074"
"DOH000000000002628","TORIL DISTRICT HEALTH OFFICE","CITY GOVERNMENT OF DAVAO-TORIL HEALTH CENTER - PRIMARY CARE BENEFIT PACKAGE","Region 11","1124","DAVAO DEL SUR","112402","DAVAO CITY","RHU","P11027339"
"DOH000000000002629","HARAPIN ANG BUKAS HEALTH CENTER","CITY GOVERNMENT OF MANDALUYONG - HARAPIN ANG BUKAS HEALTH CENTER","NCR","1374","NCR   SECOND DISTRICT","137401","CITY OF MANDALUYONG","RHU","P91027276"
"DOH000000000002649","YATING BARANGAY HEALTH STATION",,"Region 6","0619","CAPIZ","061911","PILAR","BHS",
"DOH000000000002650","BAUKO MUNICIPAL HEALTH OFFICE","BAUKO RURAL HEALTH UNIT - PCB1 ","CAR","1444","MOUNTAIN PROVINCE","144402","BAUKO","RHU","P13025641"
"DOH000000000002652","PICONG (SULTAN GUMANDER) RURAL HEALTH UNIT","PICONG RURAL HEALTH UNIT","ARMM","1536","LANAO DEL SUR","153635","SULTAN GUMANDER","RHU","P15026889"
"DOH000000000002653","MALIBCONG RURAL HEALTH UNIT","MALIBCONG RURAL HEALTH UNIT - PCB1","CAR","1401","ABRA","140115","MALIBCONG","RHU","P13026836"
"DOH000000000002654","BULUAN RURAL HEALTH UNIT","BULUAN RURAL HEALTH UNIT","ARMM","1538","MAGUINDANAO","153803","BULUAN","RHU","P15025848"
"DOH000000000002655","BAAY BARANGAY HEALTH STATION",,"Region 1","0133","LA UNION","013304","BAGULIN","BHS",
"DOH000000000002661","JIMENEZ RURAL HEALTH UNIT","JIMENEZ RURAL HEALTH UNIT","Region 10","1042","MISAMIS OCCIDENTAL","104207","JIMENEZ","RHU","P10025390"
"DOH000000000002662","AYUNGON RURAL HEALTH UNIT","RHU-AYUNGON","Region 7","0746","NEGROS ORIENTAL","074602","AYUNGON","RHU","P07024979"
"DOH000000000002663","SANTA ROSA RURAL HEALTH UNIT I","STA. ROSA RHU I ","Region 3","0349","NUEVA ECIJA","034928","SANTA ROSA","RHU","P03024511"
"DOH000000000002670","AKBAR RURAL HEALTH UNIT","AKBAR RHU","ARMM","1507","BASILAN","150708","AKBAR","RHU","P15026896"
"DOH000000000002673","BACONG RURAL HEALTH UNIT","BACONG MUNICIPAL HEALTH CENTER WITH BIRTHING FACILITY","Region 7","0746","NEGROS ORIENTAL","074603","BACONG","RHU","P07029875"
"DOH000000000002690","JOLO RURAL HEALTH UNIT","JOLO RURAL HEALTH UNIT","ARMM","1566","SULU","156602","JOLO (Capital)","RHU","P15025786"
"DOH000000000002698","RAJAH BUAYAN RURAL HEALTH UNIT","RAJAH BUAYAN RURAL HEALTH UNIT ","ARMM","1538","MAGUINDANAO","153829","RAJAH BUAYAN","RHU","P15025866"
"DOH000000000002702","KUMALARANG RURAL HEALTH UNIT","RURAL HEALTH UNIT - KUMALARANG","Region 9","0973","ZAMBOANGA DEL SUR","097311","KUMALARANG","RHU","P09026980"
"DOH000000000002709","MAGANDA BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112511","TARRAGONA","BHS",
"DOH000000000002712","NATONIN MUNICIPAL HEALTH OFFICE","NATONIN RURAL HEALTH UNIT - PCB1","CAR","1444","MOUNTAIN PROVINCE","144405","NATONIN","RHU","P13025644"
"DOH000000000002717","PLACER RURAL HEALTH UNIT","RHU PLACER","Region 5","0541","MASBATE","054117","PLACER","RHU","P05024618"
"DOH000000000002718","SANTA FE RURAL HEALTH UNIT","SANTA FE MAIN HEALTH CENTER","Region 7","0722","CEBU","072244","SANTA FE","RHU","P07024920"
"DOH000000000002727","BULUA URBAN HEALTH CENTER",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU",
"DOH000000000002728","TAGLIMAO BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS",
"DOH000000000002733","CANUMAY EAST HEALTH CENTER","CANUMAY EAST HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026185"
"DOH000000000002736","IROSIN RURAL HEALTH UNIT","IROSIN RURAL HEALTH UNIT","Region 5","0562","SORSOGON","056209","IROSIN","RHU","P05024638"
"DOH000000000002737","SURALLAH MUNICIPAL HEALTH OFFICE","SURALLAH RURAL HEALTH UNIT","Region 12","1263","SOUTH COTABATO","126313","SURALLAH","RHU","P12025538"
"DOH000000000002739","PILILLA RURAL HEALTH UNIT","PILILLA RURAL HEALTH UNIT","Region 4A","0458","RIZAL","045810","PILILLA","RHU","P93027779"
"DOH000000000002760","TALAVERA RURAL HEALTH UNIT I","RHU I TALAVERA","Region 3","0349","NUEVA ECIJA","034930","TALAVERA","RHU","P03027640"
"DOH000000000002763","AREVALO DISTRICT HEALTH CENTER","AREVALO HEALTH CENTER","Region 6","0630","ILOILO","063022","ILOILO CITY (Capital)","RHU","P06024766"
"DOH000000000002765","GENERAL LUNA RURAL HEALTH UNIT V","CHO CABANATUAN CITY/CHC 5 GEN. LUNA","Region 3","0349","NUEVA ECIJA","034903","CABANATUAN CITY","RHU","P03029776"
"DOH000000000002771","RANG-AY BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112502","BANAYBANAY","BHS",
"DOH000000000002772","POONA PIAGAPO RURAL HEALTH UNIT","POONA PIAGAPO RURAL HEALTH UNIT","Region 10","1035","LANAO DEL NORTE","103517","POONA PIAGAPO","RHU","P10025365"
"DOH000000000002774","MEXICO RURAL HEALTH UNIT II","MEXICO RHU II  ","Region 3","0354","PAMPANGA","035413","MEXICO","RHU","P03024448"
"DOH000000000002775","GENERAL MACARTHUR RURAL HEALTH UNIT","RHU GEN. MAC ARTHUR EASTERN SAMAR","Region 8","0826","EASTERN SAMAR","082607","GENERAL MACARTHUR","RHU","P08025052"
"DOH000000000002785","SAN LEONARDO RURAL HEALTH UNIT II","SAN LEONARDO RHU II","Region 3","0349","NUEVA ECIJA","034927","SAN LEONARDO","RHU","P03024413"
"DOH000000000002786","TUBURAN RURAL HEALTH UNIT I","TUBURAN RURAL HEALTH UNIT I","Region 7","0722","CEBU","072252","TUBURAN","RHU","P07024912"
"DOH000000000002792","BUENAVISTA RURAL HEALTH UNIT","RURAL HEALTH UNIT BUENAVISTA QUEZON","Region 4A","0456","QUEZON","045605","BUENAVISTA","RHU","P41027177"
"DOH000000000002794","KIAMBA RURAL HEALTH UNIT","KIAMBA RURAL HEALTH UNIT","Region 12","1280","SARANGANI","128003","KIAMBA","RHU","P12025531"
"DOH000000000002795","DAMULOG RURAL HEALTH UNIT","DAMULOG RURAL HEALTH UNIT  & FAMILY PLANNING AND BIRTHING HOME","Region 10","1013","BUKIDNON","101302","DAMULOG","RHU","P10025346"
"DOH000000000002798","POONA-BAYABAO RURAL HEALTH UNIT","POONA BAYABAO RURAL HEALTH UNIT","ARMM","1536","LANAO DEL SUR","153622","POONA BAYABAO (GATA)","RHU","P15025835"
"DOH000000000002807","AMPAYON MAIN HEALTH CENTER","AMPAYON MAIN HEALTH CENTER","CARAGA","1602","AGUSAN DEL NORTE","160202","BUTUAN CITY (Capital)","RHU","P14025687"
"DOH000000000002822","ISLA HEALTH CENTER","ISLA HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026179"
"DOH000000000002823","CAYAWAN BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112508","MANAY","BHS",
"DOH000000000002842","DATU PAGLAS RURAL HEALTH UNIT","DATU PAGLAS RURAL HEALTH UNIT","ARMM","1538","MAGUINDANAO","153805","DATU PAGLAS","RHU","P15025852"
"DOH000000000002856","BAGULIN MUNICIPAL HEALTH OFFICE","BAGULIN RURAL HEALTH UNIT","Region 1","0133","LA UNION","013304","BAGULIN","RHU","P01024124"
"DOH000000000002857","AR-ARAMPANG BARANGAY HEALTH STATION",,"Region 1","0133","LA UNION","013305","BALAOAN","BHS",
"DOH000000000002864","VALENCIA CITY HEALTH OFFICE","VALENCIA CHO MATERNAL CARE & TB DOTS CENTER","Region 10","1013","BUKIDNON","101321","CITY OF VALENCIA","CHO","P10025349"
"DOH000000000002880","MANUKAN RURAL HEALTH UNIT","MANUKAN RURAL HEALTH UNIT ","Region 9","0972","ZAMBOANGA DEL NORTE","097207","MANUKAN","RHU","P09025244"
"DOH000000000002884","GENERAL EMILIO AGUINALDO RURAL HEALTH UNIT","RURAL HEALTH UNIT-GEN. E. AGUINALDO, CAVITE","Region 4A","0421","CAVITE","042107","GENERAL EMILIO AGUINALDO","RHU","P41025890"
"DOH000000000002888","GATTARAN RURAL HEALTH UNIT",,"Region 2","0215","CAGAYAN","021513","GATTARAN","RHU","P02024320"
"DOH000000000002890","CONSOLACION RURAL HEALTH UNIT","CONSOLACION MUNICIPAL HEALTH OFFICE","Region 7","0722","CEBU","072219","CONSOLACION","RHU","P07024945"
"DOH000000000002893","CANELAR MAIN HEALTH CENTER","CITY GOV'T OF ZAMBOANGA/CHO-CANELAR HEALTH CENTER","Region 9","0973","ZAMBOANGA DEL SUR","097332","ZAMBOANGA CITY","RHU","P09025273"
"DOH000000000002901","MATANOG RURAL HEALTH UNIT","MATANOG RURAL HEALTH UNIT ","ARMM","1538","MAGUINDANAO","153809","MATANOG","RHU","P15025860"
"DOH000000000002905","HIMAMAYLAN CITY HEALTH OFFICE","HIMAMAYLAN CITY HEALTH OFFICE","Region 6","0645","NEGROS OCCIDENTAL","064510","CITY OF HIMAMAYLAN","CHO","P06024810"
"DOH000000000002908","JONES RURAL HEALTH UNIT",,"Region 2","0231","ISABELA","023115","JONES","RHU",
"DOH000000000002914","SAN BENITO RURAL HEALTH UNIT",,"CARAGA","1667","SURIGAO DEL NORTE","166718","SAN BENITO","RHU","P14025727"
"DOH000000000002917","LUMBAYANAGUE RURAL HEALTH UNIT","LUMBAYANAGUE RHU","ARMM","1536","LANAO DEL SUR","153636","LUMBAYANAGUE","RHU","P15025822"
"DOH000000000002922","CABIAO RURAL HEALTH UNIT II",,"Region 3","0349","NUEVA ECIJA","034904","CABIAO","RHU",
"DOH000000000002926","MATALOM RURAL HEALTH UNIT","RHU MATALOM ","Region 8","0837","LEYTE","083734","MATALOM","RHU","P08025086"
"DOH000000000002927","FLORIDABLANCA RURAL HEALTH UNIT II","FLORIDABLANCA RURAL HEALTH UNIT II","Region 3","0354","PAMPANGA","035406","FLORIDABLANCA","RHU","P03030274"
"DOH000000000002932","ILIHAN RURAL HEALTH UNIT V",,"Region 4A","0410","BATANGAS","041005","BATANGAS CITY (Capital)","RHU",
"DOH000000000002937","ITARAN BARANGAY HEALTH STATION",,"Region 5","0505","ALBAY","050514","POLANGUI","BHS",
"DOH000000000002941","TINAGO BARANGAY HEALTH STATION",,"Region 5","0505","ALBAY","050508","CITY OF LIGAO","BHS",
"DOH000000000002942","SULTAN SA BARONGIS RURAL HEALTH UNIT","SULTAN SA BARONGIS RHU","ARMM","1538","MAGUINDANAO","153813","SULTAN SA BARONGIS (LAMBAYONG)","RHU","P15025871"
"DOH000000000002945","ZARAGOZA RURAL HEALTH UNIT II","RHU II ZARAGOZA","Region 3","0349","NUEVA ECIJA","034932","ZARAGOZA","RHU","P03028938"
"DOH000000000002950","MALIMONO RURAL HEALTH UNIT AND BIRTHING FACILITY",,"CARAGA","1667","SURIGAO DEL NORTE","166715","MALIMONO","RHU","P14025724"
"DOH000000000002954","BALULANG - LOWER URBAN HEALTH CENTER",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU",
"DOH000000000002955","MALIBAGO BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051606","LABO","BHS",
"DOH000000000002956","DANGCAGAN RURAL HEALTH UNIT","LGU DANGCAGAN LYING-IN CLINIC AND TB DOTS","Region 10","1013","BUKIDNON","101303","DANGCAGAN","RHU","P10025344"
"DOH000000000002964","LILA RURAL HEALTH UNIT","LILA MUNICIPAL HEALTH OFFICE ","Region 7","0712","BOHOL","071227","LILA","RHU","P07024886"
"DOH000000000002965","SANTA FE RURAL HEALTH UNIT","STA. FE RURAL HEALTH UNIT","Region 2","0250","NUEVA VIZCAYA","025012","SANTA FE","RHU","P02024298"
"DOH000000000002966","APAD BARANGAY HEALTH STATION",,"Region 5","0505","ALBAY","050514","POLANGUI","BHS",
"DOH000000000002970","ARSENIA CENTENO MUNICIPAL HEALTH CENTER","ARSENIA M. CENTENO MUNICIPAL HEALTH CENTER ","CARAGA","1602","AGUSAN DEL NORTE","160210","SANTIAGO","RHU","P14025697"
"DOH000000000002971","BADIAN RURAL HEALTH UNIT","BADIAN RURAL HEALTH UNIT ","Region 7","0722","CEBU","072207","BADIAN","RHU","P07024955"
"DOH000000000002973","ITBAYAT RURAL HEATH UNIT","RURAL HEALTH UNIT AND BIRTHING HOME OF ITBAYAT","Region 2","0209","BATANES","020902","ITBAYAT","RHU","P02024214"
"DOH000000000002981","DITSAAN-RAMAIN RURAL HEALTH UNIT","DITSA-AN RAMAIN RHU","ARMM","1536","LANAO DEL SUR","153624","DITSAAN-RAMAIN","RHU","P15025815"
"DOH000000000002982","TACLOBAN CITY HEALTH OFFICE","TACLOBAN CITY HEALTH OFFICE MULTI SERVICES CLINIC","Region 8","0837","LEYTE","083747","TACLOBAN CITY (Capital)","RHU","P08026999"
"DOH000000000002984","PATNANUNGAN RURAL HEALTH UNIT","RURAL HEALTH UNIT OF PATNANUNGAN","Region 4A","0456","QUEZON","045632","PATNANUNGAN","RHU","P41025948"
"DOH000000000002985","MAPUTI BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112502","BANAYBANAY","BHS",
"DOH000000000002986","AMPATUAN RURAL HEALTH UNIT","AMPATUAN RURAL HEALTH UNIT","ARMM","1538","MAGUINDANAO","153801","AMPATUAN","RHU","P15025845"
"DOH000000000003002","SUA-ON BARANGAY HEALTH STATION",,"Region 11","1123","DAVAO DEL NORTE","112305","KAPALONG","BHS",
"DOH000000000003004","SAN LORENZO RURAL HEALTH UNIT","SAN LORENZO RHU","Region 6","0679","GUIMARAS","067904","SAN LORENZO","RHU","P06024735"
"DOH000000000003006","SAN JOSE RURAL HEALTH UNIT","RURAL HEALTH UNIT SAN JOSE","Region 7","0746","NEGROS ORIENTAL","074617","SAN JOSE","RHU","P07024992"
"DOH000000000003011","NAGUILLAN RURAL HEALTH UNIT","MUNICIPAL HEALTH OFFICE OF NAGUILIAN","Region 2","0231","ISABELA","023120","NAGUILIAN","RHU","P02024258"
"DOH000000000003022","UBAY RURAL HEALTH UNIT II","UBAY RURAL HEALTH UNIT II","Region 7","0712","BOHOL","071246","UBAY","RHU","P07024869"
"DOH000000000003023","PALATIW HEALTH CENTER","CITY GOVERNMENT OF PASIG - PALATIW HEALTH CENTER","NCR","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU","P92026372"
"DOH000000000003034","PAGALUNGAN BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS",
"DOH000000000003046","LILOAN RURAL HEALTH UNIT","LILOAN RURAL HEALTH UNIT","Region 8","0864","SOUTHERN LEYTE","086406","LILOAN","RHU","P08025145"
"DOH000000000003047","DON SALVADOR BENEDICTO RURAL HEALTH UNIT","SALVADOR BENEDICTO MHO","Region 6","0645","NEGROS OCCIDENTAL","064532","SALVADOR BENEDICTO","RHU","P06027126"
"DOH000000000003048","MABINI RURAL HEALTH UNIT","MABINI RURAL HEALTH UNIT","Region 4A","0410","BATANGAS","041016","MABINI","RHU","P42026105"
"DOH000000000003055","BONTOC MUNICIPAL HEALTH OFFICE","BONTOC RURAL HEALTH UNIT - PCB1 ","CAR","1444","MOUNTAIN PROVINCE","144404","BONTOC (Capital)","RHU","P13025643"
"DOH000000000003057","MAMASAPANO RURAL HEALTH UNIT","MAMASAPANO RURAL HEALTH CENTER","ARMM","1538","MAGUINDANAO","153820","MAMASAPANO","RHU","P15025859"
"DOH000000000003067","SERRANO HEALTH CENTER","SERRANO HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026157"
"DOH000000000003068","KAYAPA RURAL HEALTH UNIT","KAYAPA RURAL HEALTH UNIT ","Region 2","0250","NUEVA VIZCAYA","025010","KAYAPA","RHU","P02024278"
"DOH000000000003071","JESUS DE LA PEÑA HEALTH CENTER","CITY GOVERNMENT OF MARIKINA - JESUS DELA PE?A HEALTH CENTER ","NCR","1374","NCR   SECOND DISTRICT","137402","CITY OF MARIKINA","RHU","P93026540"
"DOH000000000003083","TAFT DISTRICT HEALTH CENTER","TAFT DISTRICT HEALTH OFFICE ","CARAGA","1667","SURIGAO DEL NORTE","166724","SURIGAO CITY (Capital)","RHU","P14025738"
"DOH000000000003088","GENERAL NAKAR RURAL HEALTH UNIT","MUNICIPAL HEALTH OFFICE GENERAL NAKAR","Region 4A","0456","QUEZON","045617","GENERAL NAKAR","RHU","P41025937"
"DOH000000000003089","SAN JUAN BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082622","SULAT","BHS",
"DOH000000000003093","MALICLICO BARANGAY HEALTH STATION",,"Region 1","0133","LA UNION","013319","SUDIPEN","BHS",
"DOH000000000003099","ALAMINOS CITY HEALTH OFFICE I","ALAMINOS CITY HEALTH OFFICE I ","Region 1","0155","PANGASINAN","015503","CITY OF ALAMINOS","RHU","P01024139"
"DOH000000000003112","PULUPANDAN RURAL HEALTH UNIT","PULUPANDAN MUNICIPAL HEALTH OFFICE","Region 6","0645","NEGROS OCCIDENTAL","064522","PULUPANDAN","RHU","P06024794"
"DOH000000000003119","FLORIDABLANCA RURAL HEALTH UNIT I","FLORIDABLANCA RURAL HEALTH UNIT I","Region 3","0354","PAMPANGA","035406","FLORIDABLANCA","RHU","P03024434"
"DOH000000000003147","TUBAON BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112511","TARRAGONA","BHS",
"DOH000000000003149","CALAMBA RURAL HEALTH UNIT","CALAMBA MUNICIPAL HEALTH OFFICE ","Region 10","1042","MISAMIS OCCIDENTAL","104204","CALAMBA","RHU","P10025394"
"DOH000000000003150","RAGAY RURAL HEALTH UNIT","RHU RAGAY","Region 5","0517","CAMARINES SUR","051730","RAGAY","RHU","P05024581"
"DOH000000000003151","BASAY RURAL HEALTH UNIT","BASAY RURAL HEALTH UNIT ","Region 7","0746","NEGROS ORIENTAL","074605","BASAY","RHU","P07024977"
"DOH000000000003153","SAPAD RURAL HEALTH UNIT","SAPAD RURAL HEALTH UNIT","Region 10","1035","LANAO DEL NORTE","103519","SAPAD","RHU","P10025363"
"DOH000000000003154","LAUR RURAL HEALTH UNIT I","RHU LAUR","Region 3","0349","NUEVA ECIJA","034913","LAUR","RHU","P03028095"
"DOH000000000003163","BULI HEALTH CENTER","CITY GOVERNMENT OF MUNTINLUPA/BULI HEALTH CENTER","NCR","1376","NCR   FOURTH DISTRICT","137603","CITY OF MUNTINLUPA","RHU","P92027131"
"DOH000000000003173","PAGATPAT URBAN HEALTH CENTER",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU",
"DOH000000000003187","SAN CARLOS CITY HEALTH OFFICE","SAN CARLOS CHO","Region 6","0645","NEGROS OCCIDENTAL","064524","SAN CARLOS CITY","CHO","P06024792"
"DOH000000000003189","BAMBANG HEALTH CENTER","CITY GOVERNMENT OF PASIG - NEW BAMBANG HEALTH CENTER","NCR","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU","P92026374"
"DOH000000000003193","MARAGUSAN MUNICIPAL HEALTH OFFICE","RHU-MARAGUSAN PRIMARY CARE BENEFIT PROVIDER","Region 11","1182","COMPOSTELA VALLEY","118205","MARAGUSAN (SAN MARIANO)","RHU","P11025493"
"DOH000000000003196","MAGALANG RURAL HEALTH UNIT II","MAGALANG RURAL HEALTH UNIT II","Region 3","0354","PAMPANGA","035411","MAGALANG","RHU","P03024446"
"DOH000000000003197","LUNA MUNICIPAL HEALTH OFFICE","LUNA RURAL HEALTH UNIT","Region 1","0133","LA UNION","013310","LUNA","RHU","P01024192"
"DOH0000000000032021","BAGONG POOK RURAL HEALTH UNIT","BAGONG POOK RURAL HEALTH UNIT","Region 4A","0434","LAGUNA","043424","SAN PABLO CITY","RHU","P41025920"
"DOH000000000003203","BALAYAN RURAL HEALTH UNIT","BALAYAN RHU I","Region 4A","0410","BATANGAS","041003","BALAYAN","RHU","P42026005"
"DOH000000000003207","TALIBON MUNICIPAL HEALTH CENTER","TALIBON RURAL HEALTH UNIT","Region 7","0712","BOHOL","071243","TALIBON","RHU","P07024873"
"DOH000000000003208","DIMASALANG RURAL HEALTH UNIT","RHU DIMASALANG","Region 5","0541","MASBATE","054108","DIMASALANG","RHU","P05024625"
"DOH000000000003220","MACONACON RURAL HEALTH UNIT  WITH BIRTHING CENTER","MACONACON RURAL HEALTH UNIT","Region 2","0231","ISABELA","023117","MACONACON","RHU","P02024256"
"DOH000000000003228","BOGO CITY HEALTH OFFICE","BOGO CITY HEALTH OFFICE","Region 7","0722","CEBU","072211","BOGO","CHO","P07024952"
"DOH000000000003231","SALCEDO RURAL HEALTH UNIT","SALCEDO RURAL HEALTH & FAMILY PLANNING UNIT ","Region 8","0826","EASTERN SAMAR","082619","SALCEDO","RHU","P08025041"
"DOH000000000003233","BALOI RURAL HEALTH UNIT","BALO-I RURAL HEALTH UNIT ","Region 10","1035","LANAO DEL NORTE","103502","BALOI","RHU","P10025379"
"DOH000000000003242","BULAN RURAL HEALTH UNIT","RHU BULAN","Region 5","0562","SORSOGON","056203","BULAN","RHU","P05024647"
"DOH000000000003243","GAPAN RURAL HEALTH UNIT III","GAPAN CHU III","Region 3","0349","NUEVA ECIJA","034908","CITY OF GAPAN","RHU","P03028096"
"DOH000000000003244","CARMEN RURAL HEALTH UNIT AND REPRODUCTIVE HEALTH CENTER","CARMEN RHU, ADN","CARAGA","1602","AGUSAN DEL NORTE","160204","CARMEN","RHU","P14025691"
"DOH000000000003245","MEDELLIN RURAL HEALTH UNIT",,"Region 7","0722","CEBU","072231","MEDELLIN","RHU","P07024934"
"DOH000000000003247","MARANTAO RURAL HEALTH UNIT","MARANTAO RURAL HEALTH UNIT","ARMM","1536","LANAO DEL SUR","153616","MARANTAO","RHU","P15025827"
"DOH000000000003249","GONZAGA RURAL HEALTH UNIT","RURAL HEALTH UNIT OF GONZAGA","Region 2","0215","CAGAYAN","021514","GONZAGA","RHU","P02024227"
"DOH000000000003251","FERROL RURAL HEALTH UNIT","FERROL RURAL HEALTH UNIT ","Region 4B","1759","ROMBLON","175916","FERROL","RHU","P42026093"
