"generic_code","generic_description"
"CHLOD","CHLORAMPHENICOL + DEXAMETHASONE PHOSPHATE (AS SODIUM)"
"CHLOG","CHLORHEXIDINE GLUCONATE"
"CHLOH","CHLORPHENOXAMINE HYDROCHLORIDE"
"CHLOM","CHLORAMPHENICOL MALEATE"
"CHLOP","CHLORAMPHENAMINE MALEATE"
"CHLOR","CHLORPROMAZINE"
"CHLP1","CHLOPHENAMINE MALEATE + GUAIFENESIN PHENYLPROPANOLAMINE HCI + DEXTROMETHORPHAN HBR"
"CHLP2","CHLORPROPAMIDE"
"CHLPH","CHLOROQUINE PHOSPHATE"
"CHLPL","CHLORPHENAMINE (AS PALMITATE )"
"CHLSS","CHLORPHENAMINE SODIUM SUCCINATE"
"CHOLE","CHOLECALCIFEROL"
"CHOLI","CHOLINE + INOSITOL + METHIONINE + V12 + BILEIN + DIHYDROCHLORIC ACID"
"CHORI","CHORIONIC GONADOTROPHIN"
"CHPHG","CHLORPHENAMINE MALEATE + PHENYLPROPANOLAMINE HYDROCHLORIDE + GUAIFENESIN"
"CHPHP","CHLORPHENAMINE MALEATE + PHENYLPROPANOLAMINE HYDROCHLORIDE + PARACETAMOL"
"CICLO","CICLOSPORIN"
"CICXO","CICLOPIROX OLAMINE"
"CILAZ","CILAZAPRIL"
"CILOS","CILOSTAZOL"
"CILZH","CILAZAPRIL + HYDROCHLOROTHIAZIDE"
"CIMET","CIMETIDINE"
"CINNA","CINNARIZINE"
"CIPHY","CIPROFLOXACIN (AS HYDROCHLORIDE) + DEXAMETHASONE"
"CIPR1","CIPROFLOXACIN (AS HYDROCHLORIDE)"
"CIPR2","CIPROFLOXACIN (AS LACTATE)"
"CIPRF","CIPROFIBRATE"
"CIPRO","CIPROFLOXACIN"
"CISPL","CISPLATIN"
"CITAH","CITALOPRAM (AS HYDROCHLORIDE)"
"CITI1","CITICOLINE (AS SODIUM)"
"CITIC","CITICOLINE"
"CLALC","CLARITHROMYCIN (AS LACTOBIONATE)"
"CLARH","CLARITHROMYCIN (AS HYDROCHLORIDE)"
"CLARI","CLARITHROMYCIN"
"CLEM1","CLEMASTINE FUMARATE"
"CLEMA","CLEMASTINE"
"CLEN1","CLENBUTEROL HYDROCHLORIDE"
"CLENB","CLENBUTEROL"
"CLEVU","CLEVUDINE"
"CLIN1","CLINDAMYCIN (AS HYDROCHLORIDE)"
"CLIN2","CLINDAMYCIN (AS PHOSPHATE)"
"CLIN3","CLINDAMYCIN (AS PALMITATE HYDROCHLORIDE)"
"CLIND","CLINDAMYCIN"
"CLO95","CLOBETASOL CREAM"
"CLO96","CLOBETASOL OINTMENT"
"CLOB1","CLOBETASOL PROPIONATE + NEOMYCIN SULFATE + NYSTATIN"
"CLOB2","CLOBETASOL PROPIONATE"
"CLOBE","CLOBETASOL"
"CLODB","CLOTRIMAZOLE + BECLOMETHASONE DIPROPIONATE"
"CLODX","CLOTRIMAZOLE + DEXAMETHASONE ACETATE"
"CLOFA","CLOFAZIMINE"
"CLOMC","CLOMIFENE"
"CLOMH","CLOMIPRAMINE HYDROCHLORIDE"
"CLOMI","CLOMIFENE (CLOMIPHENE)"
"CLOMN","CLOMIPRAMINE"
"CLON1","CLONIDINE HYDROCHLORIDE"
"CLONA","CLONAZEPAM"
"CLONI","CLONIDINE"
"CLOP1","CLOPIDOGREL (AS BISULFATE)"
"CLOPA","CLOPAZINE"
"CLOPH","CLOMIPHENE CITRATE"
"CLOPI","CLOPIDOGREL"
"CLOTH","CLOTRIMAZOLE + HYDROCORTISONE"
"CLOTZ","CLOTRIMAZOLE"
"CLOX1","CLOXACILLIN (AS SODIUM)"
"CLOX2","CLOXACILLIN (AS SODIUM MONOHYDRATE)"
"CLOXA","CLOXACILLIN"
"CLOZA","CLOZAPINE"
"CML01","CARBOXYMETHYLCELLULOSE"
"CO-AM","CO-AMOXICLAV (AMOXICILLIN + POTASSIUM CLAVULANATE)"
"CO-DE","CO-DERGOCRINE MESYLATE"
"COAL1","COAL TAR"
"COALG","COAL TAR GEL"
"COBRA","COBRA ANTIVENIN"
"CODEI","CODEINE"
"CODEP","CODEINE (AS POLY (STYRENE DIVINYLBENZENE)"
"COLCH","COLCHICINE"
"COLES","COLESTYRAMINE"
"COMAM","COMBINED AMINO ACIDS SORBITOL"
"COMBI","COMBINED GLUCOSE-AMINO ACID SOLUTIONS"
"CONJ1","CONJUGATED EQUINE ESTROGEN + MEDROXYPROGESTERONE ACETATE"
"CONJ2","CONJUGATED ESTROGENS"
"CONJU","CONJUGATED EQUINE ESTROGEN"
"COSYN","COSYNTROPIN"
"COTR1","COTRIMOXAZOLE (SULFAMETHOXAZOLE + TRIMETHOPRIM)"
"COTRI","COTRIMAZINE"
"CROMO","CROMOLYN SODIUM (SODIUM CROMOGLICATE)"
"CROTA","CROTAMITON"
"CYANO","CYANOCOBALAMIN"
"CYCL1","CYCLOPHOSPHAMIDE (AS MONOHYDRATE)"
"CYCL2","CYCLOPHOSPHAMIDE (AS HYDROCHLORIDE)"
"CYCLI","CYCLIDROL"
"CYCLO","CYCLOPHOSPHAMIDE"
"CYPR1","CYPROTERONE ACETATE + ETHINYL ESTRADIOL"
"CYPRH","CYPROHEPTADINE"
"CYPRO","CYPROTERONE"
"CYTAR","CYTARABINE"
"D1ATL","D1-ALPHA TOCOPHERYL ACETATE + LECITHIN"
"D2910","DEXTRAN 70 + HYPROMELLOSE 2910"
"D5045","5% DEXTROSE IN 0.45% SODIUM CHLORIDE"
"DABIG","DABIGATRAN ETEXILATE (AS MESILATE)"
"DACAR","DACARBAZINE"
"DACLI","DACLIZUMAB"
"DACTI","DACTINOMYCIN (ACTINOMYCIN D)"
"DALP1","D-ALPHA TOCOPHEROL (VITAMIN E)"
"DALP2","D-ALPHA TOCOPHERYL + LECITHIN"
"DALP3","D-ALPHA TOCOPHERYL ACETATE"
"DALP4","D-ALPHA TOCOPHERYL ACETATE + SELENIUM"
"DALP5","D-ALPHA TOCOPHERYL ACID SUCCINATE (VIT. E) + KOREAN GINSENG + BEE POLLEN + CALCIUM PANTOTHENATE +"
"DALP6","D-ALPHA TOCOPHERYL ACETATE (VITAMIN E)"
"DALPH","D-ALPHA TOCOFEROL ACETATE (VITAMIN E)"
"DALT1","DALTEPARIN SODIUM"
"DALTE","DALTEPARIN"
"DANAZ","DANAZOL"
"DANTR","DANTROLENE"
"DAPSO","DAPSONE"
"DAUNO","DAUNORUBICIN"
"DEFE1","DEFERIPRONE"
"DEFEM","DEFEROXAMINE MESILATE"
"DEFER","DEFEROXAMINE"
"DEFEX","DEFERASIROX"
"DEPR1","DEPROTEINIZED CALF BLOOD EXTRACT + POLIDOCANOL"
"DEPRO","DEPROTEINIZED CALF BLOOD EXTRACT"
"DESF1","DESFLURANE"
"DESG1","DESOGESTREL + ETHINYLESTRADIOL"
"DESLO","DESLORATADINE"
"DESMA","DESMOPRESSIN (AS ACETATE)"
"DESMO","DESMOPRESSIN"
"DESO2","DESOGESTROL"
"DESOD","DESONIDE"
"DESOG","DESOGESTREL"
"DET70","DEXTRAN 70 + HYPROMELLOSE"
"DEX40","DEXTRAN, LOW MOLECULAR WEIGHT (DEXTRAN 40)"
"DEX45","DEXTROSE IN 0.45% SODIUM CHLORIDE"
"DEX70","DEXTRAN, HIGH MOLECULAR WEIGHT (DEXTRAN 70)"
"DEXA1","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXA2","DEXTRAN LOW MOLECULAR WEIGHT"
"DEXA3","DEXAMETHASONE (AS SODIUM PHOSPHATE) + NEOMYCIN BASE (AS SULFATE)"
"DEXA4","DEXAMETHASONE (AS SODIUM PHOSPHATE)"
"DEXA5","DEXAMETHASONE + NEOMYCIN SULFATE + POLYMIXIN B SULFATE"
"DEXA6","DEXAMETHASONE PHOSPHATE (AS SODIUM)"
"DEXA7","DEXAMETHASONE PHOSPHATE (AS DISODIUM)"
"DEXA8","DEXAMETHASONE PHOSPHATE (AS SODIUM) + CHLORAMPHENICOL"
"DEXA9","DEXAMETHASONE SODIUM PHOSPHATE + NEOMYCIN SULFATE + POLYMYXIN B SULFATE"
"DEXAM","DEXAMETHASONE"
"DEXCM","DEXTROMETHORPAN HYDROBROMIDE + PHENYLPROPANOLAMINE HYDROCHLORIDE + CHLORPHENAMINE MALEATE + SODIUM C"
"DEXEM","DEXTROSE WITH ELECTROLYTES MAINTENANCE"
"DEXGM","DEXTROMETHORPHAN HYDROBROMIDE + GUAIFENESIN + PHENYLPROPANOLAMINE HYDROCHLORIDE + CHLORPHENAMINE MA"
"DEXGP","DEXTROMETHORPAN HYDROBROMIDE + GUAIFENESIN + CHLORPHENAMINE MALEATE + PARACETAMOL + PHENYLPROPANOLAM"
"DEXGS","DEXTROMETHORPHAN HYDROBROMIDE + GUAIFENESIN + SODIUM CITRATE + PHENYLPROPANOLAMINE HYDROCHLORIDE"
"DEXKE","DEXKETOPROFEN (AS TROMETAMOL)"
"DEXMO","DEXTROSE MONOHYDRATE"
"DEXPA","DEXPANTHENOL"
"DEXPC","DEXTROMETHORPHAN HYDROBROMIDE + CHLORPHENAMINE MALEATE + PHENYLPROPANOLAMINE HYDROCHLORIDE+ PARACETA"
"DEXSC","DEXTRAN + SODIUM CHLORIDE"
"DEXT1","DEXTROMETHORPHAN HBR"
"DEXT2","DEXTROMETHORPHAN HBR + HYDROBROMIDE + GUAIFENESIN"
"DEXT3","DEXTROMETHORPHAN HBR + PHENYLPROPANOLAMINE HCI + PARACETAMOL"
"DEXT4","DEXTROSE"
"DEXT5","DEXTROSE 10% IN WATER + DEXTROSE MONOHYDRATE"
"DEXT6","DEXTROSE 50%"
"DEXT7","DEXTROSE IN 0.9% SODIUM CHLORIDE"
"DEXTR","DEXTROMETHORPHAN"
"DIATR","DIATRIZOATE"
"DIAZE","DIAZEPAM"
"DIBEN","DIBENCOZIDE"
"DICHL","DICHLORPHENAMIDE"
"DICL1","DICLOFENAMIDE"
"DICL2","DICLOFENAC (AS SODIUM)"
"DICL3","DICLOFENAC POTASSIUM"
"DICL4","DICLOFENAC (AS DIETHYLAMINE)"
"DICL5","DICLOFENAC CHOLESTYRAMINE"
"DICLO","DICLOFENAC"
"DICY1","DICYCLOVERINE (DICYCLOMINE)"
"DICY2","DICYCLOVERINE HYDROCHLORIDE"
"DICYC","DICYCLOMINE"
"DIDAN","DIDANOSINE"
"DIET1","DIETHYLCARBAMAZINE CITRATE"
"DIETH","DIETHYLCARBAMAZINE"
"DIFL1","DIFLUCORTOLONE VALERATE + CHLORQUINALDOL"
"DIFLU","DIFLUCORTOLONE VALERATE"
"DIGOX","DIGOXIN"
"DIHYM","DIHYDROERGOTOXINE MESYLATE"
"DILO2","DILOXANIDE FUROATE"
"DILOX","DILOXANIDE"
"DILT1","DILTIAZEM HYDROCHLORIDE"
"DILTI","DILTIAZEM"
"DIME1","DIMERCAPTOPROPANE SULFONATE (DMPS)"
"DIMEG","DIMEGLUMINE GADOPENTETATE"
"DIMEN","DIMENHYDRINATE"
"DIMER","DIMERCAPROL"
"DIMET","DIMETHINDENE MALEATE"
"DIOSM","DIOSMIN + HESPERIDIN"
"DIPH1","DIPHTHERIA-TETANUS TOXOIDS (DT)"
"DIPH2","DIPHTHERIA-TETANUS TOXOIDS (TD)"
"DIPH3","DIPHTHERIA-TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE"
"DIPH4","DIPHTHERIA-TETANUS TOXOIDS AND PERTUSSIS VACCINE (DTP)"
"DIPH5","DIPHENHYDRAMINE"
"DIPH6","DIPHENHYDRAMINE HYDROCHLORIDE + PHENYLPROPANOLAMINE HYDROCHLORIDE"
"DIPHE","DIPHENHYDRAMINE"
"DIPHT","DIPHTHERIA ANTITOXIN"
"DIPYR","DIPYRIDAMOLE"
"DISOT","DISODIUM CLODRONATE (AS TETRAHYDRATE)"
"DITHR","DITHRANOL"
"DIVAS","DIVALPROEX SODIUM"
"DIZEP","DIZEPAM"
"DLALP","DL-ALPHA TOCOPHERYL ACETATE + SELENIUM"
"DOBU1","DOBUTAMINE IN 5% DEXTROSE"
"DOBUH","DOBUTAMINE (AS HYDROCHLORIDE)"
"DOBUT","DOBUTAMINE"
"DOCET","DOCETAXEL"
"DOCUS","DOCUSATE SODIUM"
"DOMPE","DOMPERIDONE"
"DOMPM","DOMPERIDONE (AS MALEATE)"
"DONEP","DONEPEZIL HYDROCHLORIDE"
"DOPA1","DOPAMINE HYDROCHLORIDE"
"DOPA2","DOPAMINE HYDROCHLORIDE IN 5% DEXTROSE"
"DOPAM","DOPAMINE"
"DORZO","DORZOLAMIDE"
"DOXAM","DOXAZOSIN MESYLATE"
"DOXO1","DOXORUBICIN (AS HYDROCHLORIDE)"
"DOXOP","DOXOPHYLLINE"
"DOXOR","DOXORUBICIN"
"DOXY1","DOXYCYCLINE (AS HYCLATE)"
"DOXY2","DOXYCYCLINE (AS HYDROCHLORIDE)"
"DOXY3","DOXYLAMINE SUCCINATE"
"DOXYC","DOXYCYCLINE"
"DOZOH","DOZOLAMIDE (AS HYDROCHLORIDE) + TIMOLOL (AS MALEATE)"
"DPH01","DIPHTHERIA, TETANUS, PERTUSSIS, HEPATITIS B RECOMBINANT AND HAEMOPHILUS INFLUENZA TYPE B (HIB) COMBI"
"DROPE","DROSPIRENONE + ETHINYLESTRADIOL"
"DTIB0","DTAP + HIB"
"DTPHB","DTP + HEPATITIS B VACCINE (RECOMBINANT)"
"DTPHI","DTP + HIB"
"DTPI0","DTP + INACTIVATED POLIO VACCINE"
"DTPIH","DTP + IPV + HIB"
"DTPIP","DTP + IPV"
"DUTAS","DUTASTERIDE"
"DWP01","DOUSOL WITHOUT POTASSIUM"
"DYDRO","DYDROGESTERONE"
"DYPYR","DYPYRIDAMOLE"
"DZAC1","DIALYSATE (ACETATE BASED)"
"DZBC1","DIALYSATE (BICARBONATE BASED)"
"DZLC1","DIALYSATE (LOW CALCIUM)"
"ECOLI","E. COLI LYOPHILIZED BACTERIAL LYSATE"
"ECON1","ECONAZOLE NITRATE + TRIAMCINOLONE ACETONIDE"
"ECONA","ECONAZOLE"
"ECONT","ECONAZOLE NITRATE"
"EDROP","EDROPHONIUM"
"EFA00","EFAVIRENZ"
"EICOS","EICOSAPENTAENOIC ACID + DECOSAHEXAENOIC ACID"
"ENAL1","ENALAPRIL + HYDROCHLOROTHIAZIDE"
"ENAL2","ENALAPRIL (AS MALEATE)"
"ENALA","ENALAPRIL"
"ENDS2","ENTERAL NUTRITION - DISEASE-SPECIFIC (DIABETES)"
"ENDS3","ENTERAL NUTRITION - DISEASE SPECIFIC (CANCER-INDUCED WEIGHT LOSS)"
"ENFLU","ENFLURANE"
"ENOX1","ENOXAPARIN SODIUM"
"ENOXA","ENOXAPARIN"
"ENP01","ENTERAL NUTRITION - POLYMERIC"
"ENTAC","ENTACAPONE"
"ENTE1","ENTERAL NUTRITION - ADULT POLYMERIC"
"ENTE2","ENTERAL NUTRITION - DISEASE-SPECIFIC"
"ENTE3","ENTERAL NUTRITION - FIBER-CONTAINING"
"ENTE4","ENTERAL NUTRITION - MODULAR"
"ENTE5","ENTERAL NUTRITION - PEDIATRIC POLYMERIC"
"ENTE6","ENTERAL NUTRITION - SEMI-ELEMENTAL"
"ENTEC","ENTECAVIR"
"EPHE1","EPHEDRINE SULFATE"
"EPHED","EPHEDRINE"
"EPHYD","EPERISONE HYDROCHLORIDE"
"EPIN1","EPINEPHRINE (AS HYDROCHLORIDE)"
"EPINE","EPINEPHRINE"
"EPIR1","EPIRUBICIN HYDROCHLORIDE"
"EPIRU","EPIRUBICIN"
"EPOE1","EPOETIN BETA (RECOMBINANT ERYTHROPOIETIN)"
"EPOET","EPOETIN ALFA (RECOMBINANT HUMAN ERYTHROPOIETIN)"
"EPR01","EPROSARTAN"
"EPROS","EPROSARTAN (AS MESYLATE)"
"EQRAB","EQUINE ANTI-RABIES IMMUNOGLOBULIN FRAGMENTS"
"ERDOS","ERDOSTEINE"
"ERGO1","ERGOTAMINE TARTRATE"
"ERGOC","ERGOCALCIFEROL (CALCIFEROL, VITAMIN D2)"
"ERGOT","ERGOTAMINE"
"ERLOT","ERLOTINIB"
"ERT02","ERTAPENEM"
"ERTAP","ERTAPENEM (AS SODIUM)"
"ERY01","ERYTHROMYCIN"
"ERYT1","ERYTHROMYCIN (AS ETHYLSUCCINATE)"
"ERYT2","ERYTHROMYCIN (AS BASE)"
"ERYT3","ERYTHROMYCIN (AS ESTOLATE)"
"ERYT4","ERYTHROMYCIN (AS LACTOBIONATE) + COLISTIN METHANESULFONATE"
"ERYT5","ERYTHROMYCIN (AS LACTOBIONATE) + COLISTIN SODIUM METHANESULFONATE"
"ERYT6","ERYTHROMYCIN (AS STEARATE )"
"ERYTH","ERYTHROMYCIN"
"ESC01","ESCITALOPRAM"
"ESCIT","ESCITALOPRAM (AS OXALATE)"
"ESMOL","ESMOLOL"
"ESOM1","OMEPRAZOLE"
"ESOM2","OMEPRAZOLE"
"ESOM3","OMEPRAZOLE"
"ESOME","OMEPRAZOLE"
"ESOMP","OMEPRAZOLE"
"ESTAZ","ESTAZOLAM"
"ESTR1","ESTRADIOL (AS HEMIHYDRATE)"
"ESTR2","ESTRADIOL VALERATE"
"ESTR3","ESTRADIOL VALERATE + CYPROTERONE ACETATE"
"ESTRA","ESTRAMUSTINE"
"ESTRD","ESTRADIOL"
"ESTRI","ESTRIOL"
"ETHA1","ETHAMBUTOL HYDROCHLORIDE"
"ETHA2","ETHAMBUTOL HYDROCHLORIDE + ISONIAZID + PYRIDOXINE HYDROCHLORIDE"
"ETHAM","ETHAMBUTOL"
"ETHDE","ETHINYLESTRADIOL + DESOGESTREL"
"ETHI1","ETHINYLESTRADIOL + LEVONORGESTREL (TRIPHASIC)"
"ETHI2","ETHINYLESTRADIOL + NORETHISTERONE"
"ETHIN","ETHINYLESTRADIOL + LEVONORGESTREL"
"ETHLF","ETHINYL ESTRADIOL + LEVONORGRESTREL + FERROUS FUMARATE"
"ETHNG","ETHINYLESTRADIOL + NORGESTREL"
"ETHNO","ETHINYLESTRADIOL + NORETHISTERONE"
"ETO01","ETONOGESTREL"
"ETOFM","ETOFAMIDE"
"ETONO","ETONOGESTREL"
"ETOP1","FLUOROMETHOLONE + TETRAHYDROZOLINE HYDROCHLORIDE"
"ETOP2","FLUOROMETHOLONE ACETATE"
"ETOPO","ETOPOSIDE"
"ETORI","ETORICOXIB"
"EUCAL","EUCALYPTUS OIL + MENTHOL CRYSTAL + SULPHUR POWDER + CAMPHOR POWDER + SALICYLIC ACID"
"EUMCS","EUCALYPTUS OIL + MENTHOL CRYSTAL + SUPHUR POWDER + CAMPHOR POWDER + SALICYLIC ACID"
"EVERO","EVEROLIMUS"
"EXEME","EXEMESTANE"
"EXRIM","EXTENDED RELEASE DIPYRIDAMOLE + IMMEDIATE RELEASE ACETYLSALICYLIC ACID"
"EZET1","EZETIMIBE + SIMVASTATIN"
"EZETI","EZETIMIBE"
"FACT1","FACTOR VIII CONCENTRATE"
"FACTO","FACTOR IX COMPLEX (COAGULATION FACTORS II, VII, IX, X) CONCENTRATE"
"FAMCI","FAMCICLOVIR"
"FAMOT","FAMOTIDINE"
"FELO1","FELODIPIDINE + METOPROLOL SUCCINATE"
"FELOD","FELODIPINE"
"FEME1","FELODIPINE + METOPROLOL"
"FENIP","FENOTEROL HYDROBROMIDE + IPRATROPIUM BROMIDE"
"FENOF","FENOFIBRATE"
"FENT1","FENTANYL (AS CITRATE)"
"FENTA","FENTANYL"
"FENYR","FENYRAMIDOL"
"FERF1","FERROUS FUMARATE + CYANOCOBALAMIN"
"FERF2","FERROUS FUMARATE + CYANOCOBALAMIN + FOLIC ACID"
"FERF3","FERROUS FUMARATE + RIBOFLAVIN (VITAMIN B2) + FOLIC ACID (VITAMIN B9) + CYANOCOBALAMIN (VITAMIN B12)"
"FERF4","FERROUS FUMARATE + THIAMINE MONONITRATE (VITAMIN B1) + PYRIDOXIME HYDROCHLORIDE (VITAMIN B6) + CYANO"
"FERF5","FERROUS FUMARATE + VITAMIN B COMPLEX"
"FERF6","FERROUS FUMARATE + VITAMINS + MINERALS"
"FERF8","FERROUS FUMARATE + FOLIC ACID"
"FERFU","FERROUS FUMARATE"
"FERR1","FERROUS SALT + FOLIC ACID"
"FERR2","FERROUS SULFATE"
"FERR3","FERROUS SULFATE + FOLIC ACID"
"FERR4","FERROUS SULFATE HEPTAHYDRATE"
"FERR5","FERROUS SULFATE + ZINC SULFATE MONOHYDRATE + FOLIC ACID"
"FERR6","FOLIC ACID + THIAMINE MONONITRATE (VITAMIN B1) + PYRIDOXINE HYDROCHLORIDE (VITAMIN B6) + CYANOCOBALA"
"FERR7","FERROUS FUMARATE N.F. + CYANOCOBALAMIN + THIAMINE MONONITRATE + PYRIDOXINE HYDROCHLORIDE + RIBOFLAVI"
"FERR8","FERROUS SULFATE + FOLIC ACID + VITAMIN B COMPLEX"
"FERR9","FERROUS SULFATE HEPTAHYDRATE + FOLIC ACID"
"FERRD","FERROUS SULFATE (DRIED)"
"FERRO","FERROUS SALT"
"FESOT","FESOTERODINE FUMARATE"
"FEXOF","FEXOFENADINE (AS HYDROCHLORIDE)"
"FILGR","FILGRASTIM"
"FINAS","FINASTERIDE"
"FLU01","FLUPHENAZINE"
"FLUC0","FLUCYTOSINE"
"FLUCC","FLUCCINOLONE ACETONIDE + NEOMYCIN SULFATE"
"FLUCL","FLUCLOXACILLIN (AS MAGNESIUM)"
"FLUCO","FLUCONAZOLE"
"FLUCS","FLUCLOXACILLIN (AS SODIUM)"
"FLUCY","FLUCYTOSINE (5-FLUOROCYTOSINE)"
"FLUED","FLUEPENTIXOL DECANOATE"
"FLUMA","FLUMAZENIL"
"FLUME","FLUMETASONE PIVALATE + SALICYLIC ACID"
"FLUNA","FLUNARIZINE"
"FLUO1","FLUOCINOLONE ACETONIDE + POLYMIXIN B SULFATE NEOMYCIN SULFATE"
"FLUO2","FLUOCINONIDE"
"FLUO3","FLUORESCEIN"
"FLUO4","FLUORIDE"
"FLUO5","FLUOROURACIL"
"FLUO6","FLUORESCEIN SODIUM"
"FLUO7","FLUOCINOLONE ACETONIDE + NEOMYCIN SULFATE"
"FLUO8","FLUOCORTOLONE PIVALATE + FLUOCORTOLONE CAPROATE + CINCHOCAINE HYDROCHLORIDE"
"FLUO9","FLUOROURACIL (AS SODIUM)"
"FLUOC","FLUOCINOLONE ACETONIDE"
"FLUOH","FLUOXETINE (AS HYDRCHLORIDE)"
"FLUOX","FLUOXETINE"
"FLUP1","FLUPHENAZINE (AS DECANOATE)"
"FLUP2","FLURAZEPAM MONOHYDROCHLORIDE"
"FLUP3","FLUPENTIXOL"
"FLUPE","FLUPENTIXOL DIHYDROCHLORIDE"
"FLUPH","FLUDARABINE PHOSPHATE"
"FLURA","FLURAZEPAM"
"FLURB","FLURBIPROFEN SODIUM"
"FLUT1","FLUTICASONE + SALMETEROL"
"FLUT2","FLUTICASONE PROPIONATE"
"FLUT8","FLUTICASONE OINTMENT"
"FLUT9","FLUTICASONE CREAM"
"FLUTA","FLUTAMIDE"
"FLUTF","FLUTICASONE FUROATE"
"FLUTI","FLUTICASONE"
"FLUV1","FLUVASTATINE (AS SODIUM)"
"FLUVA","FLUVASTATINE"
"FLUVO","FLUVOXAMINE MALEATE"
"FOLAL","FOLLITROPIN ALFA + LUTROPIN ALFA"
"FOLIC","FOLIC ACID"
"FOLL1","FOLLITROPIN BETA"
"FOLLI","FOLLITROPIN ALFA"
"FOM01","FOMEPIZOLE"
"FOND1","FONDAPARINUX"
"FONDA","FONDAPARINUX SODIUM"
"FORM1","FORMOTEROL FUMARATE"
"FORMO","FORMOTEROL"
"FORTI","FORTIFIED PROCAINE BENZYLPENICILLIN"
"FOSFO","FOSFOMYCIN TROMETAMOL"
"FOSIN","FOSINOPRIL SODIUM"
"FOSP1","FOSPHENYTOIN"
"FRACT","FRACTIONATED SOYBEAN OIL + FRACTIONATED EGG PHOSPHOLIPIDS + GLYCECOL"
"FRAM1","FRAMYCETIN SULFATE / AESCULIN / CINCHOCAINE HYDROCHLORIDE / HYDROCORTISONE"
"FRAMY","FRAMYCETIN"
"FURAZ","FURAZOLIDONE"
"FURO1","FUROSEMIDE + POTASSIUM CHLORIDE"
"FUROS","FUROSEMIDE"
"FURSU","FURSULTIAMINE + PYRIDOXINE HYDROCHLORIDE + CYANCOBOLAMIN"
"FUSI1","FUSIDATE SODIUM/FUSIDIC ACID"
"FUSI2","FUSIDIC ACID"
"FUSI3","FUSIDIC ACID + BETAMETHASONE DIPROPIONATE"
"FUSI4","FUSIDIC ACID+ HYDROCORTISONE ACETATE"
"FUSID","FUSIDATE SODIUM"
"FUSS1","FUSIDATE SODIUM/FUSIDIC ACID CREAM"
"FUSS2","FUSIDATE SODIUM/FUSIDIC ACID OINTMENT"
"FUSS3","FUSIDATE SODIUM/FUSIDIC ACID"
"GABAP","GABAPENTIN"
"GADOA","GADOTERIC ACID"
"GADOD","GADODIAMIDE"
"GADOV","GADOVERSETAMIDE"
"GAL01","GALANTAMINE"
"GALAH","GALANTAMINE (AS HYDROBROMIDE)"
"GANC1","GANCICLOVIR SODIUM"
"GANCI","GANCICLOVIR"
"GANIR","GANIRELIX ACETATE"
"GAS-F","GAS-FORMING AGENT"
"GATIF","GATIFLOXACIN"
"GEFIT","GEFITINIB"
"GEMC1","GEMCITABINE (AS HYDROCHLORIDE)"
"GEMCI","GEMCITABINE"
"GEMFI","GEMFIBROZIL"
"GENT1","GENTAMICIN (AS SULFATE)"
"GENT2","GENTAMICIN SULFATE + DEXAMETHASONE PHOSPHATE (AS SODIUM)"
"GENTA","GENTAMICIN"
"GENVI","GENTIAN VIOLET"
"GESTO","GESTODENE + ETHINYLESTRADIOL"
"GETA1","GENTAMICIN"
"GETA2","GENTAMICIN"
"GFA10","GAS FORMING AGENT"
"GINK1","GINKGO BILOBA EGB"
"GINKG","GINKGO BILOBA"
"GLIB1","GLIBENCLAMIDE + METFORMIN (AS HYDROCHLORIDE)"
"GLIBE","GLIBENCLAMIDE"
"GLICL","GLICLAZIDE"
"GLIME","GLIMEPIRIDE"
"GLIPI","GLIPIZIDE"
"GLU01","GLUTARALDEHYDE (GLUTARAL)"
"GLUC1","GLUCOMETAMINE + GLUCODIAMINE + NICOTINAMIDE ASCORBATE"
"GLUC2","GLUCOSAMINE SULFATE"
"GLUC3","GLUCOSE + AMINO + ELECTRLYTES + LIPID EMULSION"
"GLUC4","GLUCOSE + AMINO ACIDS + ELECTROLYTES + PURIFIED SOYBEAN OIL"
"GLUC5","GLUTAMIC ACID + DICALCIUM PHOSPHATE + THIAMINE HYDROCHLORIDE (VIT. B ) + CYANOCOBOLAMIN (VIT. 12)"
"GLUC6","GLUCOSE MONOHYDRATE"
"GLUCA","GLUCAGON"
"GLUCO","GLUCOSE (DEXTROSE)"
"GLUT1","GLUTARALDEHYDE"
"GLUTA","GLUTARAL"
"GLY80","GLYCERIN + POLYSORBATE 80"
"GLYC1","GLYCEROL"
"GLYC2","GLYCERYL TRINITRATE (NITROGLYCERINE)"
"GLYC3","GLYCINE"
"GLYC4","GLYCYRRHIZIC ACID + OROTIC ACIDG + CHLORPHENIRAMINE MALEATE"
"GLYCE","GLYCERIN"
"GOSE1","GOSERELIN ACETATE"
"GOSER","GOSERELIN"
"GRANI","GRANISETRON"
"GRISE","GRISEOFULVIN"
"GTT01","GLYCERYL TRINITRATE"
"GUA10","GUAIFENESIN + DEXTROMETHORPHAN HYDROBROMIDE"
"GUA11","GUAIFENESIN + PHENYLPROPANOLAMINE HYDROCHLORIDE + CHLORPHENAMINE MALEATE"
