"hprodid","Drug_Code","hprodname","Drug_Name","brandname","brandcode","genname","gencode","rtedesc","rtecode","formdesc","formcode","stredesc","strecode","edl","pndf_classification","sales_category","expiry_date","issue_date","status","inc","pprice","sprice","reorder","cprno","packcode","packdesc","altcode","oldcode","mdrprice","mdrp_dateasof","price_indicator","seq_no","manu_name"
"AMOX1250MXTAB2402366008851","AMOX1TAB24250MX","Amoxicillin , 250 mg/125 mg , Tablet Film Coated , MAKERS LABS. LIMITED","Amoxicillin  TABLET FILM COATED  250 mg/125 mg","","","Amoxicillin","AMOX1","","","TABLET FILM COATED","TAB24","250 mg/125 mg","250MX","Y","","","15/6/2012","15/6/2007","I","0","0","0","0","DR-XY33483","02366","Strip foil x 3's (Box of 21's)","","","0","0/0/0","","","Makers Labs. Limited"
"AMOX1500MGCAPSU00123008782","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , NEW MYREX LAB","Amoxicillin  CAPSULE  500 mg","","","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","24/10/2012","31/10/2007","AR","0","0","0","0","DR-XY21293-G","00123","10 Blister pack x 10's (100's/Box)","","","0","0/0/0","","","New Myrex Lab"
"AMOX1500MGCAPSU00128008783","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , DRUGMAKERS","Amoxicillin  CAPSULE  500 mg","","","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","16/5/2012","30/7/2008","R","0","0","0","0","DR-XY8561-G","00128","10 Capsules/Blister pack (Box of 10's)","","","0","0/0/0","","","Drugmakers"
"AMOX1500MGCAPSU008934","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , DENTOPAK-P","Amoxicillin  CAPSULE  500 mg","Dentopak-P","D0029","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","N","","","19/4/2012","19/4/2007","I","0","0","0","0","DR-XY33228","02979","Blister pack (10 tablets-Selmac)","","","0","0/0/0","","","SynPenn Research Inc."
"AMOX1500MGCAPSU008935","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , DENTOPAK-P","Amoxicillin  CAPSULE  500 mg","Dentopak-P","D0029","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","N","","","19/4/2012","19/4/2007","I","0","0","0","0","DR-XY33228","02980","Blister pack (21 capsules-promox)","","","0","0/0/0","","","SynPenn Research Inc."
"AMOX1500MGCAPSU008936","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , DENTOPAK-P","Amoxicillin  CAPSULE  500 mg","Dentopak-P","D0029","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","N","","","19/4/2012","19/4/2007","I","0","0","0","0","DR-XY33228","02981","Blister pack (8 tablets-Dostan)","","","0","0/0/0","","","SynPenn Research Inc."
"AMOX1500MGCAPSU01365006817","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , LEMOXIL","Amoxicillin  CAPSULE  500 mg","Lemoxil","L1518","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","28/10/2014","28/10/2009","I","0","0","0","0","DR-XY36145","01365","Alu/PVC Blister pack x 10's (Box of 100's)","","","0","0/0/0","","","Marksans Pharma Ltd"
"AMOX1500MGCAPSU01387008863","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , AMOSUN","Amoxicillin  CAPSULE  500 mg","Amosun","A1804","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","21/10/2011","21/10/2009","I","0","0","0","0","DRP-1670","01387","Alu/PVC-Alu Blister pack x 12's (Box of 24's)","","","0","0/0/0","","","Zhuhai United labs (Zhongshan) Co., Ltd"
"AMOX1500MGCAPSU01425008885","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , APECTRUXIL","Amoxicillin  CAPSULE  500 mg","Apectruxil","A0158","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","9/6/2013","3/6/2008","R","0","0","0","0","DR-XY15172","01425","Aluminum Foil by 100's","","","0","0/0/0","","","Allied"
"AMOX1500MGCAPSU01581008909","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , BRITAMOX","Amoxicillin  CAPSULE  500 mg","Britamox","B0097","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","23/2/2012","26/2/2010","I","0","0","0","0","DRP-1969","01581","Blister pack 10 x 10's (Box of 100's)","","","0","0/0/0","","","Reyoung Pharma'l Co., Ltd"
"AMOX1500MGCAPSU01647007108","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , MAROXIL","Amoxicillin  CAPSULE  500 mg","Maroxil","M0015","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","4/12/2010","18/10/2006","R","0","0","0","0","DR-XY18721","01647","Blister pack x 10's (Box of 100's)","","","0","0/0/0","","","Bea"
"AMOX1500MGCAPSU01668008836","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , SAPHIRE LIFESCIENCES PVT LTD","Amoxicillin  CAPSULE  500 mg","","","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","4/8/2010","25/3/2010","R","0","0","0","0","DR-XY28842","01668","Blister pack x 10's x 10's (Box of 100's)","","","0","0/0/0","","","Saphire Lifesciences Pvt Ltd"
"AMOX1500MGCAPSU01733007400","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , NORCILLIN","Amoxicillin  CAPSULE  500 mg","Norcillin","N0050","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","y","","","5/2/2011","5/11/2008","I","0","0","0","0","DRP-651-01","01733","Blister strip 10 x 10's (Box of 100's)","","","0","0/0/0","","","Accord Bio"
"AMOX1500MGCAPSU01733007401","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , PROMULGAR","Amoxicillin  CAPSULE  500 mg","Promulgar","P0120","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","17/4/2011","17/4/2006","AR","0","0","0","0","DR-XY21190","01733","Blister strip 10 x 10's (Box of 100's)","","","0","0/0/0","","","J.M. Tolmann"
"AMOX1500MGCAPSU01734007402","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , PROMULGAR","Amoxicillin  CAPSULE  500 mg","Promulgar","P0120","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","17/4/2011","17/4/2006","AR","0","0","0","0","DR-XY21190","01734","Blister strip 10 x 10's (Box of 21's)","","","0","0/0/0","","","J.M. Tolmann"
"AMOX1500MGCAPSU01740008840","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , PASCUAL","Amoxicillin  CAPSULE  500 mg","","","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","21/5/2011","21/3/2006","AR","0","0","0","0","DR-XY16159","01740","Blister strip wrapped in foil 10 x 10's (Box of 100's)","","","0","0/0/0","","","Pascual"
"AMOX1500MGCAPSU01917008906","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , BIOXILL","Amoxicillin  CAPSULE  500 mg","Bioxill","B0076","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","22/7/2011","22/9/2006","AR","0","0","0","0","DR-XY20395","01917","Clear PVC/Aluminum foil","","","0","0/0/0","","","Pharmatechnica"
"AMOX1500MGCAPSU01918007610","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , HARVIMOX","Amoxicillin  CAPSULE  500 mg","Harvimox","H0017","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","19/4/2011","27/9/2006","R","0","0","0","0","DR-XY18944-B","01918","Clear PVC/Aluminum foil blister","","","0","0/0/0","","","Scheele"
"AMOX1500MGCAPSU01922008844","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , PHILMED","Amoxicillin  CAPSULE  500 mg","","","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","14/8/2012","6/8/2007","AR","0","0","0","0","DR-XY27760","01922","Clear PVC/Aluminum Foil Blister Strip 10 x 10's (Box of 100's)","","","0","0/0/0","","","Philmed"
"AMOX1500MGCAPSU01923007618","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , NEOMOX","Amoxicillin  CAPSULE  500 mg","Neomox","N0022","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","19/12/2010","20/2/2007","R","0","0","0","0","DR-XY15034","01923","Clear PVC/Aluminum Foil Blister Strip 5 x 10's (Box of 50's)","","","0","0/0/0","","","Danlex"
"AMOX1500MGCAPSU02021007707","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , NEBRACIL","Amoxicillin  CAPSULE  500 mg","Nebracil","N0010","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","28/10/2012","9/9/2008","R","0","0","0","0","DR-XY22728","02021","Foil strip 25 x 4 (Box of 100's)","","","0","0/0/0","","","Sydenham Laboratories, Inc."
"AMOX1500MGCAPSU02032007725","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , SHINAMOX","Amoxicillin  CAPSULE  500 mg","Shinamox","S0046","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","5/11/2012","27/9/2007","R","0","0","0","0","DR-XY18458","02032","Foil strip of 10's (Box of 100's)","","","0","0/0/0","","","Hizon"
"AMOX1500MGCAPSU02055007819","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , ELEOMOX","Amoxicillin  CAPSULE  500 mg","Eleomox","E0012","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","10/4/2012","23/2/2007","AR","0","0","0","0","DR-XY10086","02055","Foil strip x 10's (Box of 100's)","","","0","0/0/0","","","Synpenn Research"
"AMOX1500MGCAPSU02055008846","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , ALLIED","Amoxicillin  CAPSULE  500 mg","","","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","1/9/2010","9/3/2006","R","0","0","0","0","DR-XY20273","02055","Foil strip x 10's (Box of 100's)","","","0","0/0/0","","","Allied"
"AMOX1500MGCAPSU02074007881","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , GRUMOX","Amoxicillin  CAPSULE  500 mg","Grumox","G0068","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","12/11/2011","14/12/2006","AR","0","0","0","0","DR-XY4923","02074","Foil strip x 4's (Box of 100's)","","","0","0/0/0","","","Hizon"
"AMOX1500MGCAPSU02154007966","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , MOXIDENT","Amoxicillin  CAPSULE  500 mg","Moxident","M0144","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","30/10/2012","30/10/2007","I","0","0","0","0","DR-XY33938","02154","HPDE Bottle x 21's","","","0","0/0/0","","","Sydenham"
"AMOX1500MGCAPSU02329008848","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , HIZON","Amoxicillin  CAPSULE  500 mg","","","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","25/1/2011","12/4/2006","R","0","0","0","0","DR-XY7480","02329","Strip foil (Box of 100's)","","","0","0/0/0","","","Hizon"
"AMOX1500MGCAPSU02371008148","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , GEXCIL","Amoxicillin  CAPSULE  500 mg","Gexcil","G0021","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","12/10/2014","12/10/2009","I","0","0","0","0","DR-XY15053","02371","Strip foil-Alum cello pack of 4's (Box of 100's)","","","0","0/0/0","","","Hizon Labs Inc"
"AMOX1500MGCAPSU02636008853","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , MEDGEN","Amoxicillin  CAPSULE  500 mg","","","Amoxicillin","AMOX1","","","CAPSULE","CAPSU","500 mg","500MG","Y","","","4/3/2011","22/3/2006","AR","0","0","0","0","DR-XY13078","02636","Wide mouthed amber glass 100's","","","0","0/0/0","","","Medgen"
"AMOX1500MGCAPSUB10SH000451","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , COAMOXIN","Amoxicillin  Capsule  500 mg","Coamoxin","C0199","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","25/3/2012","29/3/2007","","0","0","0","0","DR-XY5746","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000451",""
"AMOX1500MGCAPSUB10SH000454","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , VALZIMOX","Amoxicillin  Capsule  500 mg","Valzimox","V0006","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","5/10/2009","5/10/2006","","0","0","0","0","DR-XY32387","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000454",""
"AMOX1500MGCAPSUB10SH000455","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , ALTHEAMOX","Amoxicillin  Capsule  500 mg","Altheamox","A0070","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","16/11/2012","16/11/2007","","0","0","0","0","DR-XY33976","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000455",""
"AMOX1500MGCAPSUB10SH000458","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , BROWN AND BURK PHARMACEUTICAL LIMITED","Amoxicillin  Capsule  500 mg","","","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","13/8/2009","13/8/2004","","0","0","0","0","DR-XY29877","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000458","Brown and Burk Pharmaceutical Limited"
"AMOX1500MGCAPSUB10SH000461","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , CYCAMIL","Amoxicillin  Capsule  500 mg","Cycamil","C0248","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","12/8/2014","12/8/2008","","0","0","0","0","DR-XY7944","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000461",""
"AMOX1500MGCAPSUB10SH000462","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , ESSENMOX","Amoxicillin  Capsule  500 mg","Essenmox","E0051","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","30/3/2014","18/6/2009","","0","0","0","0","DR-XY9166","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000462",""
"AMOX1500MGCAPSUB10SH000468","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , LAFAYETTE PHARMACEUTICAL","Amoxicillin  Capsule  500 mg","","","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","3/3/2009","2/11/2004","","0","0","0","0","DR-XY30218","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000468","Lafayette Pharmaceutical"
"AMOX1500MGCAPSUB10SH000471","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , MOXIPED","Amoxicillin  Capsule  500 mg","Moxiped","M0148","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","19/8/2012","17/3/2009","","0","0","0","0","DR-XY30995","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000471",""
"AMOX1500MGCAPSUB10SH000476","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , SAVERMOX","Amoxicillin  Capsule  500 mg","Savermox","S0014","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","12/9/2013","12/9/2008","","0","0","0","0","DR-XY34928","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000476",""
"AMOX1500MGCAPSUB10SH000482","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , VAROLOX","Amoxicillin  Capsule  500 mg","Varolox","V0014","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","6/3/2011","22/12/2006","","0","0","0","0","DR-XY28389","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000482",""
"AMOX1500MGCAPSUB10SH000485","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , VS INTERNATIONAL PVT LTD MUMBAI INDIA","Amoxicillin  Capsule  500 mg","","","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","5/12/2012","22/1/2008","","0","0","0","0","DR-XY28127","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000485","VS International Pvt Ltd Mumbai India"
"AMOX1500MGCAPSUB10SH000487","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , Z-MOX","Amoxicillin  Capsule  500 mg","Z-Mox","Z0067","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","25/7/2010","25/7/2008","","0","0","0","0","DR-XY34747","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000487",""
"AMOX1500MGCAPSUB10SH000494","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , AD-DRUGSTEL PHARMACEUTICAL LAB. INC.","Amoxicillin  Capsule  500 mg","","","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","21/4/2014","13/5/2009","","0","0","0","0","DRP-229","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000494","Ad-Drugstel Pharmaceutical Lab. Inc."
"AMOX1500MGCAPSUB10SH000495","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , ALTOMOX","Amoxicillin  Capsule  500 mg","Altomox","A0073","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","3/11/2009","19/6/2007","","0","0","0","0","DRP-312-02","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000495",""
"AMOX1500MGCAPSUB10SH000500","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , AMX","Amoxicillin  Capsule  500 mg","AMX","A0135","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","9/3/2014","31/3/2009","","0","0","0","0","DR-XY23951","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000500",""
"AMOX1500MGCAPSUB10SH000506","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , BACTRILEX","Amoxicillin  Capsule  500 mg","Bactrilex","B0011","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","12/2/2012","8/3/2007","","0","0","0","0","DR-XY18249","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000506",""
"AMOX1500MGCAPSUB10SH000509","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , BIOCEL","Amoxicillin  Capsule  500 mg","Biocel","B0056","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","24/1/2010","23/1/2006","","0","0","0","0","DR-XY15287","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000509",""
"AMOX1500MGCAPSUB10SH000524","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , ERNEXYL","Amoxicillin  Capsule  500 mg","","","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","19/9/2012","30/1/2008","","0","0","0","0","DR-XY21939","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000524","Ernexyl"
"AMOX1500MGCAPSUB10SH000525","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , EVIMOX","Amoxicillin  Capsule  500 mg","Evimox","E0076","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","22/11/2012","2/1/2008","","0","0","0","0","DR-XY17409","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000525",""
"AMOX1500MGCAPSUB10SH000527","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , GIACILLIN","Amoxicillin  Capsule  500 mg","Giacillin","G0022","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","5/4/2012","31/5/2007","","0","0","0","0","DRP-470","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000527",""
"AMOX1500MGCAPSUB10SH000533","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , INFEBAN , Blister pack of 10s (Box of 100s)","Amoxicillin  Capsule  500 mg","Infeban","I0016","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","10/11/2010","4/1/2006","","0","0","0","0","DR-XY19268-B","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","533",""
"AMOX1500MGCAPSUB10SH000534","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , INFECIL","Amoxicillin  Capsule  500 mg","Infecil","I0017","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","27/3/2011","16/4/2008","","0","0","0","0","DR-XY24016","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000534",""
"AMOX1500MGCAPSUB10SH000545","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , MEDGEN LAB. INC.","Amoxicillin  Capsule  500 mg","","","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","24/3/2013","30/4/2008","","0","0","0","0","DR-XY15048","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000545","Medgen Lab. Inc."
"AMOX1500MGCAPSUB10SH000550","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , MOXIQAV","Amoxicillin  Capsule  500 mg","Moxiqav","M0151","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","10/3/2014","20/4/2009","","0","0","0","0","DRP-316-01","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000550",""
"AMOX1500MGCAPSUB10SH000552","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , MOXYLOR","Amoxicillin  Capsule  500 mg","Moxylor","M0153","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","27/9/2010","27/9/2005","","0","0","0","0","DR-XY14560","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000552",""
"AMOX1500MGCAPSUB10SH000553","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , MYREX ETHICA LAB. INC.","Amoxicillin  Capsule  500 mg","","","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","24/10/2012","31/10/2007","","0","0","0","0","DR-XY21293-G","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000553","Myrex Ethica Lab. Inc."
"AMOX1500MGCAPSUB10SH000556","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , NORCILLIN","Amoxicillin  Capsule  500 mg","Norcillin","N0050","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","5/2/2011","5/11/2008","","0","0","0","0","DRP-651-01","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000556",""
"AMOX1500MGCAPSUB10SH000557","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , PASCUAL LAB. INC.","Amoxicillin  Capsule  500 mg","","","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","21/5/2011","21/3/2006","","0","0","0","0","DR-XY16159","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000557","Pascual Lab. Inc."
"AMOX1500MGCAPSUB10SH000558","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , PATHOGRAM","Amoxicillin  Capsule  500 mg","Pathogram","P0024","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","16/12/2013","30/1/2009","","0","0","0","0","DR-XY15798","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000558",""
"AMOX1500MGCAPSUB10SH000561","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , PHECYMOX","Amoxicillin  Capsule  500 mg","Phecymox","P0062","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","1/3/2010","7/10/2005","","0","0","0","0","DR-XY11302","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000561",""
"AMOX1500MGCAPSUB10SH000565","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , PROMOX","Amoxicillin  Capsule  500 mg","Promox","P0119","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","3/7/2012","19/9/2008","","0","0","0","0","DR-XY17580-B","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000565",""
"AMOX1500MGCAPSUB10SH000570","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , SCHEELE LAB. PHIL. INC.","Amoxicillin  Capsule  500 mg","","","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","19/2/2013","27/2/2008","","0","0","0","0","DRP-030","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000570","Scheele Lab. Phil. Inc."
"AMOX1500MGCAPSUB10SH000575","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , SYNPENN RESEARCH INC.","Amoxicillin  Capsule  500 mg","","","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","3/11/2009","2/5/2007","","0","0","0","0","DRP-312-01","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000575","Synpenn Research Inc."
"AMOX1500MGCAPSUB10SH000578","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , TERMOX","Amoxicillin  Capsule  500 mg","Termox","T0042","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","23/2/2010","19/9/2005","","0","0","0","0","DR-XY13253-B","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000578",""
"AMOX1500MGCAPSUB10SH000579","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , TRIMOXIN","Amoxicillin  Capsule  500 mg","Trimoxin","T0086","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","4/11/2012","27/8/2008","","0","0","0","0","DRP-743-01","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000579",""
"AMOX1500MGCAPSUB10SH000580","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , VAROLOX","Amoxicillin  Capsule  500 mg","Varolox","V0014","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","6/3/2011","21/11/2007","","0","0","0","0","DRP-668","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000580",""
"AMOX1500MGCAPSUB10SH000587","AMOX1CAPSU500MG","Amoxicillin , 500 mg , Capsule , XYBATRON , Blister pack of 10s (Box of 100s)","Amoxicillin  Capsule  500 mg","Xybatron","X0012","Amoxicillin","AMOX1","","","Capsule","CAPSU","500 mg","500MG","","","","7/7/2012","9/9/2008","","0","0","0","0","DR-XY23045","B10SH","Blister pack of 10s (Box of 100s)","","","0","0/0/0","","000587",""
