"fhudname","phic_name","fhudcode","regcode","provcode","provname","citycode","cityname","facility_type_desc","pan"
"BGY. 1  EM'S BARRIO POB. BARANGAY HEALTH STATION",,"DOH000000000001969","05","0505","ALBAY","050506","LEGAZPI CITY  (Capital)","BHS",
"MAGPANAMBO BARANGAY HEALTH STATION",,"DOH000000000001970","05","0505","ALBAY","050514","POLANGUI","BHS",
"VIRBIRA BARANGAY HEALTH STATION",,"DOH000000000001971","01","0128","ILOCOS NORTE","012807","CARASI","BHS",
"SAGÃ‘AY MUNICIPAL HEALTH OFFICE","RHU SAG?AY","DOH000000000001972","05","0517","CAMARINES SUR","051731","SAGÃƒâ€šÃ‚ÂAY","RHU","P05024580"
"CAPOOCAN RURAL HEALTH UNIT",,"DOH000000000001973","08","0837","LEYTE","083714","CAPOOCAN","RHU",
"WATERFALL BARANGAY HEALTH STATION",,"DOH000000000001974","11","1124","DAVAO DEL SUR","112414","SULOP","BHS",
"WENCESLAO BARANGAY HEALTH STATION",,"DOH000000000001975","03","0377","AURORA","037707","MARIA AURORA","BHS",
"DAVID BARANGAY HEALTH STATION",,"DOH000000000001982","01","0155","PANGASINAN","015526","MANGALDAN","BHS",
"RONDA RURAL HEALTH UNIT","RONDA RURAL HEALTH UNIT","DOH000000000001983","07","0722","CEBU","072239","RONDA","RHU","P07027534"
"LAGAWE MUNICIPAL HEALTH OFFICE",,"DOH000000000001984","14","1427","IFUGAO","142704","LAGAWE (Capital)","RHU",
"PIÃ‘AN RURAL HEALTH UNIT","PI?AN RURAL HEALTH UNIT ","DOH000000000001985","09","0972","ZAMBOANGA DEL NORTE","097209","PIÃƒâ€šÃ‚ÂAN (NEW PIÃƒâ€šÃ‚ÂAN)","RHU","P09025246"
"RABON BARANGAY HEALTH STATION",,"DOH000000000001986","01","0155","PANGASINAN","015533","SAN FABIAN","BHS",
"HERMOSA LYING IN AND HEALTH CENTER","HERMOSA RURAL HEALTH UNIT","DOH000000000001987","03","0308","BATAAN","030805","HERMOSA","RHU","P03024337"
"DOLORES RURAL HEALTH UNIT",,"DOH000000000001988","08","0826","EASTERN SAMAR","082606","DOLORES","RHU",
"SAPANG PALAY RURAL HEALTH UNIT II",,"DOH000000000001990","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","RHU",
"DIBUT BARANGAY HEALTH STATION",,"DOH000000000001992","03","0377","AURORA","037708","SAN LUIS","BHS",
"SUMILANG HEALTH CENTER","CITY GOVERNMENT OF PASIG - SUMILANG HEALTH CENTER","DOH000000000001993","13","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU","P92026358"
"LABO RURAL HEALTH UNIT II TULAY NA LUPA","RHU LABO II","DOH000000000001996","05","0516","CAMARINES NORTE","051606","LABO","RHU","P05024565"
"SAN AGUSTIN RURAL HEALTH UNIT IV","SAN FERNANDO RHU IV","DOH000000000001998","03","0354","PAMPANGA","035416","CITY OF SAN FERNANDO (Capital)","RHU","P03024433"
"NEW OPON BARANGAY HEALTH STATION",,"DOH000000000001999","11","1124","DAVAO DEL SUR","112407","MAGSAYSAY","BHS",
"BUHI RURAL HEALTH UNIT I",,"DOH000000000002001","05","0517","CAMARINES SUR","051705","BUHI","RHU",
"CALAUAG RURAL HEALTH UNIT",,"DOH000000000002002","04","0456","QUEZON","045607","CALAUAG","BHS",
"SCIENCE CITY OF MUÑOZ RURAL HEALTH UNIT II",,"DOH000000000002003","03","0349","NUEVA ECIJA","034917","SCIENCE CITY OF MUÃƒâ€šÃ‚ÂOZ","RHU",
"BUENAVISTA BARANGAY HEALTH STATION",,"DOH000000000002004","17","1751","OCCIDENTAL MINDORO","175109","SABLAYAN","BHS",
"LOOC RURAL HEALTH UNIT",,"DOH000000000002005","17","1759","ROMBLON","175907","LOOC","RHU",
"POTOTAN RURAL HEALTH UNIT",,"DOH000000000002006","06","0630","ILOILO","063037","POTOTAN","RHU",
"PASOLO HEALTH CENTER","PASOLO HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","DOH000000000002007","13","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026164"
"DAWAN BARANGAY HEALTH STATION",,"DOH000000000002008","11","1125","DAVAO ORIENTAL","112509","MATI (Capital)","BHS",
"MANZANTE BARANGAY HEALTH STATION",,"DOH000000000002009","01","0129","ILOCOS SUR","012912","MAGSINGAL","BHS",
"ALIGTOS BARANGAY HEALTH STATION",,"DOH000000000002010","06","0606","ANTIQUE","060602","BARBAZA","BHS",
"BALIMBING BARANGAY HEALTH STATION",,"DOH000000000002011","17","1740","MARINDUQUE","174001","BOAC (Capital)","BHS",
"SIBAY BARANGAY HEALTH STATION",,"DOH000000000002012","06","0606","ANTIQUE","060605","CALUYA","BHS",
"BATAD RURAL HEALTH UNIT","BATAD RURAL HEALTH UNIT/ LGU BATAD","DOH000000000002013","06","0630","ILOILO","063009","BATAD","RHU","P06024778"
"BASISTA RURAL HEALTH UNIT",,"DOH000000000002015","01","0155","PANGASINAN","015509","BASISTA","RHU",
"CAMARIN 175 HEALTH CENTER",,"DOH000000000002016","13","1375","NCR   THIRD DISTRICT","137501","KALOOKAN CITY","RHU",
"LIPA CITY MAIN HEALTH CENTER (SOUTH DISTRICT)",,"DOH000000000002017","04","0410","BATANGAS","041014","LIPA CITY","RHU",
"ISABELA RURAL HEALTH UNIT-NORTH","RHU 10 ISABELA NORTH","DOH000000000002018","09","0997","CITY OF ISABELA","099701","CITY OF ISABELA (Capital)","RHU","P15026894"
"CANLAON CITY HEALTH OFFICE","CITY HEALTH OFFICE ","DOH000000000002019","07","0746","NEGROS ORIENTAL","074608","CANLAON CITY","CHO","P07024975"
"BARANGAY 31 (POB.) BARANGAY HEALTH STATION",,"DOH000000000002020","10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS",
"SUGUIDAN NORTE BARANGAY HEALTH CENTER",,"DOH000000000002021","01","0133","LA UNION","013311","NAGUILIAN","BHS",
"POBLACION RURAL HEALTH UNIT I","DINALUPIHAN RURAL HEALTH UNIT I","DOH000000000002023","03","0308","BATAAN","030804","DINALUPIHAN","RHU","P03024336"
"TAGANA-AN RURAL HEALTH UNIT",,"DOH000000000002024","16","1667","SURIGAO DEL NORTE","166725","TAGANA-AN","RHU","P14025740"
"SAN JUAN MUNICIPAL HEALTH OFFICE","SAN JUAN MUNICIPAL HEALTH OFFICE","DOH000000000002026","01","0133","LA UNION","013316","SAN JUAN","RHU","P01024133"
"DARAO BARANGAY HEALTH STATION",,"DOH000000000002027","01","0129","ILOCOS SUR","012920","SAN JUAN (LAPOG)","BHS",
"DIKAPINISAN BARANGAY HEALTH STATION",,"DOH000000000002028","03","0377","AURORA","037708","SAN LUIS","BHS",
"ENRIQUE VILLANUEVA RURAL HEALTH UNIT","ENRIQUE VILLANUEVA RURAL HEALTH UNIT AND BIRTHING CENTER","DOH000000000002030","07","0761","SIQUIJOR","076101","ENRIQUE VILLANUEVA","RHU","P07024985"
"BOLOSAN BARANGAY HEALTH STATION",,"DOH000000000002031","01","0155","PANGASINAN","015518","DAGUPAN CITY","BHS",
"SAMBOAN RURAL HEALTH UNIT",,"DOH000000000002032","07","0722","CEBU","072240","SAMBOAN","RHU",
"ARITAO RURAL HEALTH UNIT","ARITAO RURAL HEALTH UNIT","DOH000000000002033","02","0250","NUEVA VIZCAYA","025002","ARITAO","RHU","P02024270"
"JACINTO  BARANGAY HEALTH CENTER",,"DOH000000000002034","11","1124","DAVAO DEL SUR","112402","DAVAO CITY","RHU",
"BINANCIAN BARANGAY HEALTH STATION",,"DOH000000000002036","11","1123","DAVAO DEL NORTE","112301","ASUNCION (SAUG)","BHS",
"REYNADO BARANGAY HEALTH STATION",,"DOH000000000002037","01","0155","PANGASINAN","015511","BAYAMBANG","BHS",
"MAIMBUNG RURAL HEALTH UNIT","MAIMBUNG RURAL HEALTH UNIT","DOH000000000002039","15","1566","SULU","156605","MAIMBUNG","RHU","P15025789"
"DAGAT-DAGATAN BARANGAY HEALTH STATION",,"DOH000000000002042","03","0314","BULACAN","031422","SAN RAFAEL","BHS",
"MOMPONG BARANGAY HEALTH STATION",,"DOH000000000002044","06","0619","CAPIZ","061914","ROXAS CITY (Capital)","BHS",
"BATUAN RURAL HEALTH UNIT",,"DOH000000000002045","05","0541","MASBATE","054104","BATUAN","RHU",
"MATARINAO BARANGAY HEALTH STATION",,"DOH000000000002047","08","0826","EASTERN SAMAR","082619","SALCEDO","BHS",
"AGLIPAY RURAL HEALTH UNIT","AGLIPAY RURAL HEALTH UNIT","DOH000000000002048","02","0257","QUIRINO","025701","AGLIPAY","RHU","P02024282"
"ALFONSO RURAL HEALTH UNIT","ALFONSO MUNICIPAL HEALTH OFFICE","DOH000000000002049","04","0421","CAVITE","042101","ALFONSO","RHU","P41025876"
"SAN ISIDRO BARANGAY HEALTH STATION",,"DOH000000000002053","11","1125","DAVAO ORIENTAL","112501","BAGANGA","BHS",
"CONCEPCION BARANGAY HEALTH STATION",,"DOH000000000002054","08","0860","WESTERN SAMAR","086007","GANDARA","BHS",
"DANSULLAN BARANGAY HEALTH STATION",,"DOH000000000002055","09","0972","ZAMBOANGA DEL NORTE","097210","POLANCO","BHS",
"GUIMBAL RURAL HEALTH UNIT MAIN HEALTH CENTER",,"DOH000000000002056","06","0630","ILOILO","063020","GUIMBAL","RHU",
"ANGELES RURAL HEALTH UNIT I","STO. DOMINGO RHU I","DOH000000000002057","03","0354","PAMPANGA","035401","ANGELES CITY","RHU","P03024512"
"AURORA RURAL HEALTH UNIT","MUNICIPAL HEALTH OFFICE OF AURORA, ISABELA","DOH000000000002058","02","0231","ISABELA","023103","AURORA","RHU","P02024244"
"MANINANG BARANGAY HEALTH STATION",,"DOH000000000002061","06","0619","CAPIZ","061915","SAPI-AN","BHS",
"MANUEL ROXAS BARANGAY HEALTH STATION",,"DOH000000000002062","11","1125","DAVAO ORIENTAL","112506","GOVERNOR GENEROSO","BHS",
"MARUAYA BARANGAY HEALTH STATION",,"DOH000000000002063","01","0128","ILOCOS NORTE","012818","PIDDIG","BHS",
"SUAGAYAN BARANGAY HEALTH STATION",,"DOH000000000002064","01","0129","ILOCOS SUR","012915","QUIRINO (ANGKAKI)","BHS",
"UNGKAYA PUKAN RURAL HEALTH UNIT",,"DOH000000000002065","15","1507","BASILAN","150702","LAMITAN","RHU",
"SAN CARLOS CITY  RURAL HEALTH UNI IV",,"DOH000000000002066","01","0155","PANGASINAN","015532","SAN CARLOS CITY","RHU",
"UMINGAN RURAL HEALTH UNIT I",,"DOH000000000002067","01","0155","PANGASINAN","015544","UMINGAN","RHU",
"SANTO DOMINGO RURAL HEALTH UNIT",,"DOH000000000002069","01","0129","ILOCOS SUR","012928","SANTO DOMINGO","RHU",
"ESCODA BARANGAY HEALTH STATION",,"DOH000000000002070","01","0128","ILOCOS NORTE","012813","MARCOS","BHS",
"TOBOR BARANGAY HEALTH STATION",,"DOH000000000002071","01","0155","PANGASINAN","015524","MALASIQUI","BHS",
"TRAVESIA BARANGAY HEALTH STATION",,"DOH000000000002072","05","0505","ALBAY","050504","GUINOBATAN","BHS",
"DAET RURAL HEALTH UNIT I","RHU DAET 1 ","DOH000000000002074","05","0516","CAMARINES NORTE","051603","DAET (Capital)","RHU","P05024571"
"DUMANGAS RURAL HEALTH UNIT",,"DOH000000000002075","06","0630","ILOILO","063018","DUMANGAS","RHU",
"BF HOMES HEALTH CENTER",,"DOH000000000002076","13","1376","NCR   FOURTH DISTRICT","137604","CITY OF PARAÃƒâ€šÃ‚ÂAQUE","RHU",
"NUEVA VALENCIA RURAL HEALTH UNIT","RURAL HEALTH UNIT NUEVA VALENCIA","DOH000000000002077","06","0679","GUIMARAS","067903","NUEVA VALENCIA","RHU","P06024736"
"ZARAGOZA RURAL HEALTH UNIT I",,"DOH000000000002078","03","0349","NUEVA ECIJA","034932","ZARAGOZA","RHU",
"CAWAYAN MAIN HEALTH CENTER",,"DOH000000000002079","05","0541","MASBATE","054106","CAWAYAN","RHU",
"SAMBAG BARANGAY HEALTH STATION",,"DOH000000000002080","06","0630","ILOILO","063022","ILOILO CITY (Capital)","BHS",
"AGUTAY BARANGAY HEALTH STATION",,"DOH000000000002081","17","1759","ROMBLON","175908","MAGDIWANG","BHS",
"PASIL RURAL HEALTH UNIT","PASIL RURAL HEALTH UNIT - PCB1","DOH000000000002086","14","1432","KALINGA","143208","PASIL","RHU","P13025631"
"SAN FERNANDO RURAL HEALTH UNIT",,"DOH000000000002087","17","1759","ROMBLON","175913","SAN FERNANDO","RHU",
"TRES DE MAYO A BARANGAY HEALTH STATION",,"DOH000000000002090","11","1124","DAVAO DEL SUR","112403","CITY OF DIGOS (Capital)","BHS",
"UPPER TUMAPOC BARANGAY HEALTH STATION",,"DOH000000000002091","01","0133","LA UNION","013308","BURGOS","BHS",
"WEST LAMIDAN BARANGAY HEALTH STATION",,"DOH000000000002092","11","1186","DAVAO OCCIDENTAL","112416","DON MARCELINO","BHS",
"MARIVELES RURAL HEALTH UNIT I","MARIVELES RURAL HEALTH UNIT  I  ","DOH000000000002093","03","0308","BATAAN","030807","MARIVELES","RHU","P03024339"
"BALARING BARANGAY HEALTH STATION",,"DOH000000000002095","17","1740","MARINDUQUE","174001","BOAC (Capital)","BHS",
"BUNGA BARANGAY HEALTH STATION",,"DOH000000000002096","06","0645","NEGROS OCCIDENTAL","064532","SALVADOR BENEDICTO","BHS",
"CAMANDAG BARANGAY HEALTH STATION",,"DOH000000000002097","06","0645","NEGROS OCCIDENTAL","064517","LA CASTELLANA","BHS",
"LA PAZ RURAL HEALTH UNIT II",,"DOH000000000002098","03","0369","TARLAC","036907","LA PAZ","RHU",
"BALAOAN MUNICIPAL HEALTH OFFICE AND BIRTHING CLINIC","BALAOAN MUNICIPAL HEALTH OFFICE","DOH000000000002100","01","0133","LA UNION","013305","BALAOAN","RHU","P01024125"
"VALDERRAMA RURAL HEALTH UNIT","MUNICIPAL HEALTH OFFICE VALDERRAMA","DOH000000000002101","06","0606","ANTIQUE","060618","VALDERRAMA","RHU","P06024704"
"DAET RURAL HEALTH UNIT III",,"DOH000000000002103","05","0516","CAMARINES NORTE","051603","DAET (Capital)","RHU",
"DITEKI BARANGAY HEALTH STATION",,"DOH000000000002104","03","0377","AURORA","037708","SAN LUIS","BHS",
"SAN ANDRES BARANGAY HEALTH STATION",,"DOH000000000002105","01","0129","ILOCOS SUR","012906","CITY OF CANDON","BHS",
"TANGAOAN BARANGAY HEALTH STATION",,"DOH000000000002106","01","0129","ILOCOS SUR","012926","SANTA MARIA","BHS",
"TINIGBAS BARANGAY HEALTH STATION",,"DOH000000000002107","06","0606","ANTIQUE","060610","LIBERTAD","BHS",
"PANIQUI RURAL HEALTH UNIT II",,"DOH000000000002109","03","0369","TARLAC","036910","PANIQUI","RHU",
"CAGWAIT MUNICIPAL HEALTH OFFICE","RURAL HEALTH UNIT-CAGWAIT ","DOH000000000002110","16","1668","SURIGAO DEL SUR","166804","CAGWAIT","RHU","P14025745"
"ROXAS CITY HEALTH OFFICE","ROXAS CITY HEALTH OFFICE / ROXAS CHO TB DOTS CENTER","DOH000000000002111","06","0619","CAPIZ","061914","ROXAS CITY (Capital)","CHO","P06024723"
"TANDUBAS RURAL HEALTH UNIT","TANDUBAS RHU","DOH000000000002115","15","1570","TAWI-TAWI","157007","TANDUBAS","RHU","P15025806"
"SAN JUAN RURAL HEALTH UNIT","SAN JUAN RHU","DOH000000000002116","08","0864","SOUTHERN LEYTE","086414","SAN JUAN (CABALIAN)","RHU","P08025180"
"ISULAN RURAL HEALTH UNIT","ISULAN RURAL HEALTH UNIT","DOH000000000002118","12","1265","SULTAN KUDARAT","126504","ISULAN (Capital)","RHU","P12025561"
"BOBONAO BARANGAY HEALTH STATION",,"DOH000000000002122","11","1125","DAVAO ORIENTAL","112501","BAGANGA","BHS",
"PATACBO BARANGAY HEALTH STATION",,"DOH000000000002123","01","0155","PANGASINAN","015509","BASISTA","BHS",
"MANGCAWAYAN BARANGAY HEALTH STATION",,"DOH000000000002124","05","0516","CAMARINES NORTE","051612","VINZONS","BHS",
"MARONONG BARANGAY HEALTH STATION",,"DOH000000000002125","01","0155","PANGASINAN","015538","SANTA BARBARA","BHS",
"KALINGALAN CALUANG RURAL HEALTH UNIT",,"DOH000000000002126","15","1566","SULU","156603","KALINGALAN CALUANG","RHU",
"LANTAWAN RURAL HEALTH UNIT",,"DOH000000000002128","15","1507","BASILAN","150703","LANTAWAN","RHU",
"MASADAG BARANGAY HEALTH STATION",,"DOH000000000002134","01","0129","ILOCOS SUR","012930","SINAIT","BHS",
"SAN AGUSTIN SUR BARANGAY HEALTH STATION",,"DOH000000000002135","01","0133","LA UNION","013301","AGOO","BHS",
"MARIA AURORA RURAL HEALTH UNIT","MARIA AURORA MUNICIPAL HEALTH OFFICE","DOH000000000002136","03","0377","AURORA","037707","MARIA AURORA","RHU","P03027024"
"PRES. MANUEL A. ROXAS RURAL HEALTH UNIT","ROXAS RURAL HEALTH UNIT  ","DOH000000000002137","09","0972","ZAMBOANGA DEL NORTE","097211","PRES. MANUEL A. ROXAS","RHU","P09025248"
"LA TRINIDAD RURAL HEALTH UNIT",,"DOH000000000002138","14","1411","BENGUET","141110","LA TRINIDAD (Capital)","RHU",
"CAGDIANAO BARANGAY HEALTH STATION",,"DOH000000000002139","16","1667","SURIGAO DEL NORTE","166706","CLAVER","BHS",
"GORDON HEIGHTS RURAL HEALTH UNIT","GORDON HEIGHTS HEALTH CENTER ","DOH000000000002140","03","0371","ZAMBALES","037107","OLONGAPO CITY","RHU","P03024499"
"MASUPE BARANGAY HEALTH STATION",,"DOH000000000002144","01","0133","LA UNION","013305","BALAOAN","BHS",
"MATACON BARANGAY HEALTH STATION",,"DOH000000000002145","05","0505","ALBAY","050514","POLANGUI","BHS",
"NAGUILAYAN BARANGAY HEALTH STATION",,"DOH000000000002146","01","0155","PANGASINAN","015513","BINMALEY","BHS",
"PULONG DUHAT BARANGAY HEALTH STATION",,"DOH000000000002147","03","0314","BULACAN","031421","SAN MIGUEL","BHS",
"PADRE GARCIA RURAL HEALTH UNIT",,"DOH000000000002148","04","0410","BATANGAS","041020","PADRE GARCIA","RHU",
"BOSTON MUNICIPAL HEALTH OFFICE","RURAL HEALTH UNIT - BOSTON ","DOH000000000002150","11","1125","DAVAO ORIENTAL","112503","BOSTON","RHU","P11025485"
"KINABLANGAN BARANGAY HEALTH STATION",,"DOH000000000002152","11","1125","DAVAO ORIENTAL","112501","BAGANGA","BHS",
"SAN MIGUEL RURAL HEALTH UNIT","RHU SAN MIGUEL","DOH000000000002153","05","0520","CATANDUANES","052009","SAN MIGUEL","RHU","P05024656"
"ALAMINOS CITY HEALTH OFFICE II","ALAMINOS RURAL HEALTH UNIT II ","DOH000000000002158","01","0155","PANGASINAN","015503","CITY OF ALAMINOS","RHU","P01024140"
"KALIBO RURAL HEALTH UNIT II",,"DOH000000000002161","06","0604","AKLAN","060407","KALIBO (Capital)","RHU",
"DIBAYABAY BARANGAY HEALTH STATION",,"DOH000000000002166","03","0377","AURORA","037708","SAN LUIS","BHS",
"SANTO NIÃ‘O BARANGAY HEALTH STATION",,"DOH000000000002168","11","1124","DAVAO DEL SUR","112401","BANSALAN","BHS",
"ROSARIO RURAL HEALTH UNIT","ROSARIO RURAL HEALTH UNIT ","DOH000000000002170","04","0421","CAVITE","042117","ROSARIO","RHU","P41025894"
"LANGUYAN RURAL HEALTH UNIT",,"DOH000000000002171","15","1570","TAWI-TAWI","157009","LANGUYAN","RHU",
"AMONTOC BARANGAY HEALTH STATION",,"DOH000000000002175","01","0133","LA UNION","013315","SAN GABRIEL","BHS",
"DATU DANWATA BARANGAY HEALTH STATION",,"DOH000000000002176","11","1186","DAVAO OCCIDENTAL","118603",,"BHS",
"DEL PILAR BARANGAY HEALTH STATION",,"DOH000000000002177","01","0129","ILOCOS SUR","012933","TAGUDIN","BHS",
"SANGIL BARANGAY HEALTH STATION",,"DOH000000000002178","01","0128","ILOCOS NORTE","012802","BACARRA","BHS",
"DANCALAN BARANGAY HEALTH STATION",,"DOH000000000002179","08","0848","NORTHERN SAMAR","084803","BOBON","BHS",
"DEL MONTE BARANGAY HEALTH STATION",,"DOH000000000002181","11","1123","DAVAO DEL NORTE","112314","NEW CORELLA","BHS",
"DEL PILAR BARANGAY HEALTH STATION",,"DOH000000000002182","05","0516","CAMARINES NORTE","051602","CAPALONGA","BHS",
"BACLAYON RURAL HEALTH UNIT","BACLAYON RURAL HEALTH UNIT","DOH000000000002183","07","0712","BOHOL","071205","BACLAYON","RHU","P07024907"
"AMBAGUIO RURAL HEALTH UNIT","AMBAGUIO RURAL HEALTH UNIT AND BIRTHING CLINIC","DOH000000000002184","02","0250","NUEVA VIZCAYA","025001","AMBAGUIO","RHU","P02024269"
"RESERVA BARANGAY HEALTH STATION",,"DOH000000000002186","03","0377","AURORA","037701","BALER  (Capital)","BHS",
"PIDDIG RURAL HEALTH UNIT",,"DOH000000000002187","01","0128","ILOCOS NORTE","012818","PIDDIG","RHU",
"MAYAPYAP SUR RURAL HEALTH UNIT","CHO CABANATUAN CITY / RHU I MAYAPYAP SUR","DOH000000000002188","03","0349","NUEVA ECIJA","034903","CABANATUAN CITY","RHU","P03028124"
"PATNONGON RURAL HEALTH UNIT","PATNONGON MUNICIPAL HEALTH OFFICE","DOH000000000002189","06","0606","ANTIQUE","060612","PATNONGON","RHU","P06027060"
"BASIAWAN BARANGAY HEALTH STATION",,"DOH000000000002194","11","1186","DAVAO OCCIDENTAL","118604",,"BHS",
"DAYHAGON BARANGAY HEALTH STATION",,"DOH000000000002195","06","0619","CAPIZ","061916","SIGMA","BHS",
"MAROROY BARANGAY HEALTH STATION",,"DOH000000000002196","05","0505","ALBAY","050503","DARAGA (LOCSIN)","BHS",
"OZAMIZ CITY HEALTH OFFICE","OZAMIZ CITY HEALTH OFFICE","DOH000000000002197","10","1042","MISAMIS OCCIDENTAL","104210","OZAMIS CITY","CHO","P10025387"
"TUBAY RURAL HEALTH UNIT","TUBAY RURAL HEALTH UNIT  & FAMILY PLANNING CENTER ","DOH000000000002198","16","1602","AGUSAN DEL NORTE","160211","TUBAY","RHU","P14025698"
"VILLASIS RURAL HEALTH UNIT","VILLASIS MUNICIPAL HEALTH OFFICE","DOH000000000002199","01","0155","PANGASINAN","015547","VILLASIS","RHU","P01024186"
"SOONG BARANGAY HEALTH STATION",,"DOH000000000002201","11","1124","DAVAO DEL SUR","112403","CITY OF DIGOS (Capital)","BHS",
"SANGALI MAIN HEALTH CENTER",,"DOH000000000002203","09","0973","ZAMBOANGA DEL SUR","097332","ZAMBOANGA CITY","BHS",
"OFFICE OF THE CITY HEALTH  SERVICES","CHO TACURONG ","DOH000000000002204","12","1265","SULTAN KUDARAT","126511","CITY OF TACURONG","RHU","P12025564"
"QUEZON RURAL HEALTH UNIT","RHU - QUEZON","DOH000000000002205","02","0250","NUEVA VIZCAYA","025011","QUEZON","RHU","P02024279"
"ABULUG RURAL HEALTH UNIT",,"DOH000000000002206","02","0215","CAGAYAN","021501","ABULUG","RHU",
"MADALAG RURAL HEALTH UNIT","MADALAG RURAL HEALTH UNIT","DOH000000000002208","06","0604","AKLAN","060410","MADALAG","RHU","P06024693"
"TANAUAN RURAL HEALTH UNIT",,"DOH000000000002209","08","0837","LEYTE","083748","TANAUAN","MHO",
"APALIT RURAL HEALTH UNIT II","APALIT RURAL HEALTH UNIT II","DOH000000000002210","03","0354","PAMPANGA","035402","APALIT","RHU","P03024426"
"ESCALANTE CITY HEALTH OFFICE","ESCALANTE CITY HEALTH OFFICE ","DOH000000000002211","06","0645","NEGROS OCCIDENTAL","064509","CITY OF ESCALANTE","CHO","P06024811"
"BAUTISTA RURAL HEALTH UNIT","BAUTISTA RURAL HEALTH UNIT","DOH000000000002216","01","0155","PANGASINAN","015510","BAUTISTA","RHU","P01024147"
"LIPA CITY MAIN HEALTH CENTER (URBAN DISTRICT)","URBAN DISTRICT HEALTH CENTER ","DOH000000000002217","04","0410","BATANGAS","041014","LIPA CITY","RHU","P42026010"
"TALON II HEALTH CENTER",,"DOH000000000002218","13","1376","NCR   FOURTH DISTRICT","137601","CITY OF LAS PIÃƒâ€šÃ‚ÂAS","RHU",
"ANONANG BARANGAY HEALTH STATION",,"DOH000000000002219","11","1124","DAVAO DEL SUR","112401","BANSALAN","BHS",
"BITO BARANGAY HEALTH STATION",,"DOH000000000002220","11","1186","DAVAO OCCIDENTAL","118603",,"BHS",
"DOLAOAN BARANGAY HEALTH STATION",,"DOH000000000002221","01","0155","PANGASINAN","015505","ANDA","BHS",
"LINAO BARANGAY HEALTH STATION",,"DOH000000000002222","11","1123","DAVAO DEL NORTE","112324","SAN ISIDRO","BHS",
"BINOGSACAN LOWER BARANGAY HEALTH STATION",,"DOH000000000002223","05","0505","ALBAY","050504","GUINOBATAN","BHS",
"LOWER LIMONZO BARANGAY HEALTH STATION",,"DOH000000000002224","11","1124","DAVAO DEL SUR","112411","PADADA","BHS",
"MANUEL PERALTA BARANGAY HEALTH STATION",,"DOH000000000002225","11","1186","DAVAO OCCIDENTAL","118603",,"BHS",
"POBLACION TABUC BARANGAY HEALTH STATION",,"DOH000000000002226","06","0619","CAPIZ","061908","MAMBUSAO","BHS",
"SANTIAGO CITY HEALTH OFFICE","SANTIAGO CITY HEALTH OFFICE","DOH000000000002228","02","0231","ISABELA","023135","CITY OF SANTIAGO","RHU","P02024248"
"MACANHAN BARANGAY HEALTH STATION",,"DOH000000000002229","10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS",
"MACASANDING URBAN HEALTH CENTER",,"DOH000000000002230","10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU",
"JAGNA RURAL HEALTH UNIT II",,"DOH000000000002233","07","0712","BOHOL","071225","JAGNA","RHU","P07024888"
"ALANGALANG RURAL HEALTH UNIT","ALANGALANG RHU ","DOH000000000002234","08","0837","LEYTE","083702","ALANGALANG","RHU","P08025111"
"PANGANTUCAN RURAL HEALTH UNIT","RHU PANGANTUCAN MATERNITY CARE CENTER","DOH000000000002235","10","1013","BUKIDNON","101316","PANGANTUCAN","RHU","P10027238"
"UPI RURAL HEALTH UNIT",,"DOH000000000002236","15","1538","MAGUINDANAO","153815","UPI","RHU",
"ALABANG HEALTH CENTER","CITY GOVERNMENT OF MUNTINLUPA/ALABANG HEALTH CENTER","DOH000000000002237","13","1376","NCR   FOURTH DISTRICT","137603","CITY OF MUNTINLUPA","RHU","P92027127"
"MAHARLIKA VILLAGE HEALTH CENTER",,"DOH000000000002238","13","1376","NCR   FOURTH DISTRICT","137607","TAGUIG","RHU",
"SCIENCE CITY OF MUÃ‘OZ RURAL HEALTH UNIT II",,"DOH000000000002239","03","0349","NUEVA ECIJA","034917","SCIENCE CITY OF MUÃƒâ€šÃ‚ÂOZ","RHU",
"POBLACION BARANGAY HEALTH STATION",,"DOH000000000002240","11","1125","DAVAO ORIENTAL","112503","BOSTON","BHS",
"ALUBIJID RURAL HEALTH UNIT","RURAL HEALTH UNIT, ALUBIJID","DOH000000000002242","10","1043","MISAMIS ORIENTAL","104301","ALUBIJID","RHU","P10025424"
"DARONG BARANGAY HEALTH STATION",,"DOH000000000002246","11","1124","DAVAO DEL SUR","112412","SANTA CRUZ","BHS",
"DEWEY BARANGAY HEALTH STATION",,"DOH000000000002247","01","0155","PANGASINAN","015514","BOLINAO","BHS",
"DIAAT BARANGAY HEALTH STATION",,"DOH000000000002248","03","0377","AURORA","037707","MARIA AURORA","BHS",
